Date,Adj Close
2021-07-19,16.0
2021-07-20,12.5
2021-07-21,13.319999694824219
2021-07-22,12.529999732971191
2021-07-23,12.699999809265137
2021-07-26,12.390000343322754
2021-07-27,12.5
2021-07-28,13.220000267028809
2021-07-29,13.470000267028809
2021-07-30,13.800000190734863
2021-08-02,14.279999732971191
2021-08-03,14.220000267028809
2021-08-04,14.0600004196167
2021-08-05,14.119999885559082
2021-08-06,14.550000190734863
2021-08-09,13.569999694824219
2021-08-10,13.520000457763672
2021-08-11,13.729999542236328
2021-08-12,13.510000228881836
2021-08-13,13.510000228881836
2021-08-16,13.579999923706055
2021-08-17,13.680000305175781
2021-08-18,13.3100004196167
2021-08-19,13.289999961853027
2021-08-20,13.260000228881836
2021-08-23,13.020000457763672
2021-08-24,12.920000076293945
2021-08-25,13.829999923706055
2021-08-26,13.880000114440918
2021-08-27,13.779999732971191
2021-08-30,13.109999656677246
2021-08-31,13.529999732971191
2021-09-01,13.890000343322754
2021-09-02,14.220000267028809
2021-09-03,14.399999618530273
2021-09-07,15.050000190734863
2021-09-08,14.720000267028809
2021-09-09,13.729999542236328
2021-09-10,14.399999618530273
2021-09-13,13.5600004196167
2021-09-14,14.300000190734863
2021-09-15,13.5600004196167
2021-09-16,14.510000228881836
2021-09-17,15.520000457763672
2021-09-20,14.329999923706055
2021-09-21,14.460000038146973
2021-09-22,14.369999885559082
2021-09-23,13.760000228881836
2021-09-24,13.539999961853027
2021-09-27,13.260000228881836
2021-09-28,12.829999923706055
2021-09-29,12.4399995803833
2021-09-30,12.40999984741211
2021-10-01,12.779999732971191
2021-10-04,12.140000343322754
2021-10-05,12.65999984741211
2021-10-06,13.0
2021-10-07,12.890000343322754
2021-10-08,12.3100004196167
2021-10-11,12.539999961853027
2021-10-12,12.5
2021-10-13,12.5
2021-10-14,12.59000015258789
2021-10-15,12.970000267028809
2021-10-18,12.699999809265137
2021-10-19,13.109999656677246
2021-10-20,13.130000114440918
2021-10-21,13.210000038146973
2021-10-22,12.880000114440918
2021-10-25,13.270000457763672
2021-10-26,13.210000038146973
2021-10-27,12.859999656677246
2021-10-28,13.170000076293945
2021-10-29,13.300000190734863
2021-11-01,13.710000038146973
2021-11-02,13.960000038146973
2021-11-03,14.010000228881836
2021-11-04,14.239999771118164
2021-11-05,13.829999923706055
2021-11-08,14.0
2021-11-09,13.720000267028809
2021-11-10,13.460000038146973
2021-11-11,13.109999656677246
2021-11-12,13.319999694824219
2021-11-15,13.149999618530273
2021-11-16,12.829999923706055
2021-11-17,12.65999984741211
2021-11-18,12.130000114440918
2021-11-19,11.90999984741211
2021-11-22,11.5
2021-11-23,10.9399995803833
2021-11-24,11.350000381469727
2021-11-26,11.270000457763672
2021-11-29,11.710000038146973
2021-11-30,11.800000190734863
2021-12-01,10.869999885559082
2021-12-02,10.710000038146973
2021-12-03,11.130000114440918
2021-12-06,12.0600004196167
2021-12-07,12.449999809265137
2021-12-08,12.520000457763672
2021-12-09,12.279999732971191
2021-12-10,12.430000305175781
2021-12-13,11.529999732971191
2021-12-14,11.260000228881836
2021-12-15,11.5600004196167
2021-12-16,11.180000305175781
2021-12-17,11.40999984741211
2021-12-20,11.289999961853027
2021-12-21,11.350000381469727
2021-12-22,11.399999618530273
2021-12-23,11.720000267028809
2021-12-27,11.680000305175781
2021-12-28,11.210000038146973
2021-12-29,11.039999961853027
2021-12-30,11.199999809265137
2021-12-31,11.100000381469727
2022-01-03,11.5
2022-01-04,11.180000305175781
2022-01-05,10.59000015258789
2022-01-06,10.449999809265137
2022-01-07,10.260000228881836
2022-01-10,10.430000305175781
2022-01-11,10.5600004196167
2022-01-12,10.489999771118164
2022-01-13,10.300000190734863
2022-01-14,10.15999984741211
2022-01-18,10.029999732971191
2022-01-19,10.15999984741211
2022-01-20,10.199999809265137
2022-01-21,9.979999542236328
2022-01-24,10.140000343322754
2022-01-25,10.029999732971191
2022-01-26,10.170000076293945
2022-01-27,10.270000457763672
2022-01-28,10.539999961853027
2022-01-31,11.15999984741211
2022-02-01,11.380000114440918
2022-02-02,11.140000343322754
2022-02-03,10.970000267028809
2022-02-04,11.289999961853027
2022-02-07,11.3100004196167
2022-02-08,11.449999809265137
2022-02-09,11.649999618530273
2022-02-10,11.550000190734863
2022-02-11,11.40999984741211
2022-02-14,11.5600004196167
2022-02-15,11.789999961853027
2022-02-16,11.640000343322754
2022-02-17,11.329999923706055
2022-02-18,11.050000190734863
2022-02-22,11.0
2022-02-23,10.770000457763672
