Date,Adj Close
2022-02-04,16.799999237060547
2022-02-07,17.84000015258789
2022-02-08,17.780000686645508
2022-02-09,16.399999618530273
2022-02-10,16.860000610351562
2022-02-11,17.0
2022-02-14,16.450000762939453
2022-02-15,17.030000686645508
2022-02-16,17.200000762939453
2022-02-17,17.280000686645508
2022-02-18,17.81999969482422
2022-02-22,18.649999618530273
2022-02-23,19.059999465942383
2022-02-24,18.959999084472656
2022-02-25,16.940000534057617
2022-02-28,19.139999389648438
2022-03-01,17.06999969482422
2022-03-02,16.700000762939453
2022-03-03,17.899999618530273
2022-03-04,18.0
2022-03-07,17.18000030517578
2022-03-08,17.139999389648438
2022-03-09,16.389999389648438
2022-03-10,16.5
2022-03-11,16.68000030517578
2022-03-14,16.350000381469727
2022-03-15,17.020000457763672
2022-03-16,17.3799991607666
2022-03-17,17.1200008392334
2022-03-18,15.569999694824219
2022-03-21,14.680000305175781
2022-03-22,15.420000076293945
2022-03-23,15.350000381469727
2022-03-24,15.789999961853027
2022-03-25,16.260000228881836
2022-03-28,15.34000015258789
2022-03-29,14.020000457763672
2022-03-30,12.970000267028809
2022-03-31,14.020000457763672
2022-04-01,14.380000114440918
2022-04-04,13.119999885559082
2022-04-05,13.300000190734863
2022-04-06,13.0
2022-04-07,13.039999961853027
2022-04-08,12.930000305175781
2022-04-11,12.609999656677246
2022-04-12,13.029999732971191
2022-04-13,12.9399995803833
2022-04-14,12.930000305175781
2022-04-18,12.779999732971191
2022-04-19,12.600000381469727
2022-04-20,12.039999961853027
2022-04-21,11.729999542236328
2022-04-22,10.710000038146973
2022-04-25,12.0600004196167
2022-04-26,11.130000114440918
2022-04-27,10.880000114440918
2022-04-28,11.0
2022-04-29,10.930000305175781
2022-05-02,10.050000190734863
2022-05-03,9.119999885559082
2022-05-04,9.3100004196167
2022-05-05,9.329999923706055
2022-05-06,9.199999809265137
2022-05-09,8.529999732971191
2022-05-10,9.6899995803833
2022-05-11,8.890000343322754
2022-05-12,8.800000190734863
2022-05-13,8.90999984741211
2022-05-16,7.610000133514404
2022-05-17,7.510000228881836
2022-05-18,7.210000038146973
2022-05-19,7.639999866485596
2022-05-20,7.800000190734863
2022-05-23,8.65999984741211
2022-05-24,9.020000457763672
2022-05-25,9.640000343322754
2022-05-26,9.579999923706055
2022-05-27,11.550000190734863
2022-05-31,12.109999656677246
2022-06-01,12.220000267028809
2022-06-02,12.880000114440918
2022-06-03,13.09000015258789
2022-06-06,15.789999961853027
2022-06-07,16.979999542236328
2022-06-08,19.15999984741211
2022-06-09,20.989999771118164
2022-06-10,24.43000030517578
2022-06-13,21.709999084472656
2022-06-14,17.889999389648438
2022-06-15,17.469999313354492
2022-06-16,15.020000457763672
2022-06-17,16.190000534057617
2022-06-21,15.899999618530273
2022-06-22,15.579999923706055
2022-06-23,16.809999465942383
2022-06-24,17.93000030517578
2022-06-27,18.670000076293945
2022-06-28,17.8700008392334
2022-06-29,18.1200008392334
2022-06-30,18.079999923706055
2022-07-01,18.600000381469727
2022-07-05,19.079999923706055
2022-07-06,18.739999771118164
