Date,Adj Close
2018-05-31,9.699999809265137
2018-06-01,9.699999809265137
2018-06-04,9.699999809265137
2018-06-05,9.699999809265137
2018-06-06,9.699999809265137
2018-06-07,9.699999809265137
2018-06-08,9.699999809265137
2018-06-11,9.699999809265137
2018-06-12,9.699999809265137
2018-06-13,9.699999809265137
2018-06-14,9.75
2018-06-15,9.75
2018-06-18,9.649999618530273
2018-06-19,9.649999618530273
2018-06-20,9.649999618530273
2018-06-21,9.800000190734863
2018-06-22,9.800000190734863
2018-06-25,9.800000190734863
2018-06-26,9.800000190734863
2018-06-27,9.75
2018-06-28,9.75
2018-06-29,9.619999885559082
2018-07-02,9.609999656677246
2018-07-03,9.609999656677246
2018-07-05,9.609999656677246
2018-07-06,9.600000381469727
2018-07-09,9.600000381469727
2018-07-10,9.600000381469727
2018-07-11,9.600000381469727
2018-07-12,9.600000381469727
2018-07-13,9.600000381469727
2018-07-16,9.600000381469727
2018-07-17,9.600000381469727
2018-07-18,9.600000381469727
2018-07-19,9.609999656677246
2018-07-20,9.609999656677246
2018-07-23,9.609999656677246
2018-07-24,9.609999656677246
2018-07-25,9.609999656677246
2018-07-26,9.640000343322754
2018-07-27,9.630000114440918
2018-07-30,9.699999809265137
2018-07-31,9.699999809265137
2018-08-01,9.699999809265137
2018-08-02,9.770000457763672
2018-08-03,9.770000457763672
2018-08-06,9.770000457763672
2018-08-07,9.720000267028809
2018-08-08,9.720000267028809
2018-08-09,9.720000267028809
2018-08-10,9.720000267028809
2018-08-13,9.75
2018-08-14,9.760000228881836
2018-08-15,9.760000228881836
2018-08-16,9.760000228881836
2018-08-17,9.760000228881836
2018-08-20,9.800000190734863
2018-08-21,9.800000190734863
2018-08-22,9.75
2018-08-23,9.760000228881836
2018-08-24,9.75
2018-08-27,9.729999542236328
2018-08-28,9.729999542236328
2018-08-29,9.729999542236328
2018-08-30,9.739999771118164
2018-08-31,9.739999771118164
2018-09-04,9.739999771118164
2018-09-05,9.739999771118164
2018-09-06,9.739999771118164
2018-09-07,9.729999542236328
2018-09-10,9.729999542236328
2018-09-11,9.729999542236328
2018-09-12,9.729999542236328
2018-09-13,9.729999542236328
2018-09-14,9.729999542236328
2018-09-17,9.729999542236328
2018-09-18,9.729999542236328
2018-09-19,9.699999809265137
2018-09-20,9.720000267028809
