Date,Adj Close
2023-02-10,18.440000534057617
2023-02-13,18.540000915527344
2023-02-14,18.010000228881836
2023-02-15,18.030000686645508
2023-02-16,17.75
2023-02-17,17.93000030517578
2023-02-21,18.049999237060547
2023-02-22,18.0
2023-02-23,18.110000610351562
2023-02-24,17.899999618530273
2023-02-27,17.1299991607666
2023-02-28,17.780000686645508
2023-03-01,17.760000228881836
2023-03-02,17.209999084472656
2023-03-03,19.139999389648438
2023-03-06,18.959999084472656
2023-03-07,17.84000015258789
2023-03-08,17.940000534057617
2023-03-09,16.8700008392334
2023-03-10,16.280000686645508
2023-03-13,16.200000762939453
2023-03-14,16.93000030517578
2023-03-15,16.350000381469727
2023-03-16,15.380000114440918
2023-03-17,15.4399995803833
2023-03-20,14.850000381469727
2023-03-21,14.430000305175781
2023-03-22,14.359999656677246
2023-03-23,15.4399995803833
2023-03-24,15.130000114440918
2023-03-27,15.970000267028809
2023-03-28,14.869999885559082
2023-03-29,14.850000381469727
2023-03-30,15.649999618530273
2023-03-31,15.65999984741211
2023-04-03,15.359999656677246
2023-04-04,14.430000305175781
2023-04-05,13.9399995803833
2023-04-06,13.5600004196167
2023-04-10,14.670000076293945
2023-04-11,13.5600004196167
2023-04-12,13.59000015258789
2023-04-13,13.4399995803833
2023-04-14,13.199999809265137
2023-04-17,13.550000190734863
2023-04-18,13.619999885559082
2023-04-19,14.489999771118164
2023-04-20,13.770000457763672
2023-04-21,14.229999542236328
2023-04-24,13.699999809265137
2023-04-25,13.420000076293945
2023-04-26,12.859999656677246
2023-04-27,13.079999923706055
2023-04-28,13.449999809265137
2023-05-01,13.65999984741211
2023-05-02,13.529999732971191
2023-05-03,14.199999809265137
2023-05-04,14.649999618530273
2023-05-05,15.670000076293945
2023-05-08,16.15999984741211
2023-05-09,16.739999771118164
2023-05-10,16.100000381469727
2023-05-11,16.040000915527344
2023-05-12,16.149999618530273
2023-05-15,16.190000534057617
2023-05-16,15.449999809265137
2023-05-17,16.020000457763672
2023-05-18,15.859999656677246
2023-05-19,15.510000228881836
2023-05-22,15.850000381469727
2023-05-23,15.680000305175781
2023-05-24,15.229999542236328
2023-05-25,14.119999885559082
2023-05-26,14.079999923706055
2023-05-30,14.3100004196167
2023-05-31,14.539999961853027
2023-06-01,14.470000267028809
2023-06-02,14.720000267028809
