Date,Adj Close
2022-08-18,15.6899995803833
2022-08-19,48.0099983215332
2022-08-22,41.40999984741211
2022-08-23,26.639999389648438
2022-08-24,29.81999969482422
2022-08-25,25.200000762939453
2022-08-26,19.299999237060547
2022-08-29,19.389999389648438
2022-08-30,16.56999969482422
2022-08-31,14.649999618530273
2022-09-01,23.649999618530273
2022-09-02,20.040000915527344
2022-09-06,20.290000915527344
2022-09-07,20.219999313354492
2022-09-08,20.100000381469727
2022-09-09,18.100000381469727
2022-09-12,17.75
2022-09-13,16.850000381469727
2022-09-14,17.06999969482422
2022-09-15,16.110000610351562
2022-09-16,14.989999771118164
2022-09-19,13.270000457763672
2022-09-20,13.739999771118164
2022-09-21,13.0
2022-09-22,13.319999694824219
2022-09-23,12.819999694824219
2022-09-26,12.489999771118164
2022-09-27,12.100000381469727
2022-09-28,12.149999618530273
2022-09-29,11.460000038146973
2022-09-30,10.109999656677246
2022-10-03,8.239999771118164
2022-10-04,7.659999847412109
2022-10-05,7.670000076293945
2022-10-06,7.320000171661377
2022-10-07,6.380000114440918
2022-10-10,6.190000057220459
2022-10-11,6.320000171661377
2022-10-12,5.699999809265137
2022-10-13,6.099999904632568
2022-10-14,6.190000057220459
2022-10-17,5.619999885559082
2022-10-18,5.320000171661377
2022-10-19,5.110000133514404
2022-10-20,5.130000114440918
2022-10-21,5.03000020980835
2022-10-24,4.599999904632568
2022-10-25,5.21999979019165
2022-10-26,5.050000190734863
2022-10-27,4.75
2022-10-28,4.860000133514404
2022-10-31,4.679999828338623
2022-11-01,4.489999771118164
2022-11-02,4.269999980926514
2022-11-03,4.420000076293945
2022-11-04,4.659999847412109
2022-11-07,5.900000095367432
2022-11-08,5.429999828338623
2022-11-09,5.659999847412109
2022-11-10,5.920000076293945
2022-11-11,6.429999828338623
2022-11-14,6.440000057220459
2022-11-15,6.610000133514404
2022-11-16,6.090000152587891
2022-11-17,6.199999809265137
2022-11-18,5.960000038146973
2022-11-21,5.699999809265137
2022-11-22,5.75
2022-11-23,5.820000171661377
2022-11-25,6.159999847412109
2022-11-28,7.929999828338623
2022-11-29,7.920000076293945
2022-11-30,7.369999885559082
2022-12-01,7.300000190734863
2022-12-02,7.730000019073486
2022-12-05,7.800000190734863
2022-12-06,7.340000152587891
2022-12-07,6.559999942779541
2022-12-08,6.880000114440918
2022-12-09,6.639999866485596
2022-12-12,6.360000133514404
2022-12-13,6.480000019073486
2022-12-14,6.25
2022-12-15,5.699999809265137
2022-12-16,5.730000019073486
2022-12-19,5.650000095367432
2022-12-20,5.369999885559082
2022-12-21,5.78000020980835
2022-12-22,5.409999847412109
2022-12-23,5.53000020980835
2022-12-27,5.630000114440918
2022-12-28,5.360000133514404
2022-12-29,5.599999904632568
2022-12-30,5.690000057220459
2023-01-03,5.46999979019165
2023-01-04,5.670000076293945
2023-01-05,6.360000133514404
2023-01-06,6.349999904632568
2023-01-09,6.099999904632568
2023-01-10,6.03000020980835
2023-01-11,6.110000133514404
2023-01-12,6.039999961853027
2023-01-13,6.300000190734863
2023-01-17,6.039999961853027
2023-01-18,5.949999809265137
2023-01-19,6.170000076293945
2023-01-20,6.119999885559082
2023-01-23,6.079999923706055
2023-01-24,5.860000133514404
2023-01-25,5.78000020980835
2023-01-26,5.789999961853027
2023-01-27,5.940000057220459
2023-01-30,5.590000152587891
2023-01-31,5.849999904632568
2023-02-01,5.840000152587891
2023-02-02,5.909999847412109
2023-02-03,5.840000152587891
2023-02-06,5.519999980926514
2023-02-07,5.429999828338623
2023-02-08,5.349999904632568
2023-02-09,5.260000228881836
2023-02-10,4.940000057220459
2023-02-13,5.010000228881836
2023-02-14,5.099999904632568
2023-02-15,5.420000076293945
2023-02-16,5.289999961853027
2023-02-17,5.340000152587891
2023-02-21,5.119999885559082
2023-02-22,5.159999847412109
2023-02-23,5.050000190734863
2023-02-24,5.010000228881836
2023-02-27,5.119999885559082
2023-02-28,5.059999942779541
2023-03-01,5.0
2023-03-02,4.929999828338623
2023-03-03,4.96999979019165
2023-03-06,4.949999809265137
2023-03-07,4.960000038146973
2023-03-08,4.949999809265137
2023-03-09,4.880000114440918
2023-03-10,4.900000095367432
2023-03-13,5.21999979019165
2023-03-14,5.099999904632568
2023-03-15,5.800000190734863
2023-03-16,5.889999866485596
2023-03-17,5.269999980926514
2023-03-20,5.039999961853027
2023-03-21,5.150000095367432
2023-03-22,5.090000152587891
2023-03-23,5.139999866485596
2023-03-24,5.210000038146973
2023-03-27,5.440000057220459
2023-03-28,5.349999904632568
2023-03-29,5.570000171661377
2023-03-30,6.03000020980835
2023-03-31,6.300000190734863
2023-04-03,6.420000076293945
2023-04-04,6.0
2023-04-05,5.71999979019165
2023-04-06,5.630000114440918
2023-04-10,5.71999979019165
2023-04-11,6.21999979019165
2023-04-12,5.940000057220459
2023-04-13,5.900000095367432
2023-04-14,5.559999942779541
2023-04-17,5.599999904632568
2023-04-18,5.579999923706055
2023-04-19,5.300000190734863
2023-04-20,5.300000190734863
2023-04-21,5.260000228881836
2023-04-24,5.300000190734863
2023-04-25,5.300000190734863
2023-04-26,5.150000095367432
2023-04-27,5.010000228881836
2023-04-28,5.53000020980835
2023-05-01,5.579999923706055
2023-05-02,5.179999828338623
2023-05-03,5.179999828338623
2023-05-04,5.260000228881836
2023-05-05,5.050000190734863
2023-05-08,5.260000228881836
2023-05-09,5.295000076293945
2023-05-10,5.420000076293945
2023-05-11,5.239999771118164
2023-05-12,5.239999771118164
2023-05-15,5.5
2023-05-16,5.269999980926514
2023-05-17,5.320000171661377
2023-05-18,5.289999961853027
2023-05-19,5.269999980926514
2023-05-22,5.465000152587891
2023-05-23,5.659999847412109
2023-05-24,7.159999847412109
2023-05-25,5.789999961853027
2023-05-26,6.449999809265137
2023-05-30,6.760000228881836
2023-05-31,6.75
2023-06-01,6.679999828338623
2023-06-02,6.78000020980835
2023-06-05,6.78000020980835
2023-06-06,6.800000190734863
2023-06-07,7.0
2023-06-08,7.0
2023-06-09,6.980000019073486
2023-06-12,7.5
2023-06-13,7.5
2023-06-14,7.800000190734863
2023-06-15,7.840000152587891
2023-06-16,8.079999923706055
2023-06-20,7.650000095367432
2023-06-21,7.559999942779541
2023-06-22,7.800000190734863
2023-06-23,7.789999961853027
2023-06-26,7.78000020980835
2023-06-27,7.840000152587891
2023-06-28,7.659999847412109
2023-06-29,7.5
2023-06-30,6.760000228881836
