Date,Adj Close
2020-10-02,25.489999771118164
2020-10-05,26.56999969482422
2020-10-06,26.959999084472656
2020-10-07,24.600000381469727
2020-10-08,24.0
2020-10-09,22.799999237060547
2020-10-12,23.170000076293945
2020-10-13,23.309999465942383
2020-10-14,24.139999389648438
2020-10-15,25.309999465942383
2020-10-16,25.139999389648438
2020-10-19,26.100000381469727
2020-10-20,27.200000762939453
2020-10-21,27.399999618530273
2020-10-22,26.850000381469727
2020-10-23,26.09000015258789
2020-10-26,26.229999542236328
2020-10-27,25.709999084472656
2020-10-28,25.06999969482422
2020-10-29,25.09000015258789
2020-10-30,24.75
2020-11-02,24.739999771118164
2020-11-03,26.020000457763672
2020-11-04,25.739999771118164
2020-11-05,25.850000381469727
2020-11-06,26.969999313354492
2020-11-09,26.610000610351562
2020-11-10,25.860000610351562
2020-11-11,26.809999465942383
2020-11-12,26.510000228881836
2020-11-13,25.829999923706055
2020-11-16,28.09000015258789
2020-11-17,29.030000686645508
2020-11-18,28.540000915527344
2020-11-19,28.600000381469727
2020-11-20,28.5
2020-11-23,29.020000457763672
2020-11-24,32.95000076293945
2020-11-25,34.290000915527344
2020-11-27,35.869998931884766
2020-11-30,34.20000076293945
2020-12-01,30.229999542236328
2020-12-02,29.780000686645508
2020-12-03,32.77000045776367
2020-12-04,33.939998626708984
2020-12-07,33.11000061035156
2020-12-08,33.58000183105469
2020-12-09,30.530000686645508
2020-12-10,29.149999618530273
2020-12-11,29.030000686645508
2020-12-14,32.150001525878906
2020-12-15,33.63999938964844
2020-12-16,32.15999984741211
2020-12-17,33.209999084472656
2020-12-18,32.15999984741211
2020-12-21,31.6299991607666
2020-12-22,35.56999969482422
2020-12-23,37.04999923706055
2020-12-24,35.43000030517578
2020-12-28,35.880001068115234
2020-12-29,34.86000061035156
2020-12-30,35.939998626708984
2020-12-31,33.130001068115234
2021-01-04,31.959999084472656
2021-01-05,32.130001068115234
2021-01-06,33.45000076293945
2021-01-07,34.27000045776367
2021-01-08,33.939998626708984
2021-01-11,37.459999084472656
2021-01-12,36.40999984741211
2021-01-13,39.54999923706055
2021-01-14,37.970001220703125
2021-01-15,38.310001373291016
2021-01-19,39.529998779296875
2021-01-20,37.13999938964844
2021-01-21,36.869998931884766
2021-01-22,39.58000183105469
2021-01-25,40.369998931884766
2021-01-26,38.0099983215332
2021-01-27,34.970001220703125
2021-01-28,36.16999816894531
2021-01-29,36.119998931884766
2021-02-01,38.04999923706055
2021-02-02,42.529998779296875
2021-02-03,41.45000076293945
2021-02-04,42.34000015258789
2021-02-05,44.72999954223633
2021-02-08,43.63999938964844
2021-02-09,44.15999984741211
2021-02-10,46.5
2021-02-11,45.540000915527344
2021-02-12,41.970001220703125
2021-02-16,41.310001373291016
2021-02-17,41.5099983215332
2021-02-18,42.720001220703125
2021-02-19,43.029998779296875
2021-02-22,41.619998931884766
2021-02-23,41.209999084472656
2021-02-24,41.720001220703125
2021-02-25,41.75
2021-02-26,42.91999816894531
2021-03-01,42.38999938964844
2021-03-02,42.5
2021-03-03,40.060001373291016
2021-03-04,39.06999969482422
2021-03-05,41.630001068115234
2021-03-08,42.11000061035156
2021-03-09,42.130001068115234
2021-03-10,40.720001220703125
2021-03-11,41.47999954223633
2021-03-12,44.63999938964844
2021-03-15,44.25
2021-03-16,43.65999984741211
2021-03-17,43.72999954223633
2021-03-18,40.0099983215332
2021-03-19,38.75
2021-03-22,40.33000183105469
2021-03-23,38.099998474121094
2021-03-24,37.86000061035156
2021-03-25,39.779998779296875
2021-03-26,37.31999969482422
2021-03-29,33.31999969482422
2021-03-30,32.900001525878906
2021-03-31,36.9900016784668
2021-04-01,38.630001068115234
2021-04-05,37.5099983215332
2021-04-06,37.4900016784668
2021-04-07,36.16999816894531
2021-04-08,33.720001220703125
2021-04-09,32.65999984741211
2021-04-12,30.709999084472656
2021-04-13,31.579999923706055
2021-04-14,33.18000030517578
2021-04-15,32.91999816894531
2021-04-16,32.54999923706055
2021-04-19,31.579999923706055
2021-04-20,30.389999389648438
2021-04-21,31.75
2021-04-22,30.850000381469727
2021-04-23,30.559999465942383
2021-04-26,32.29999923706055
2021-04-27,33.25
2021-04-28,34.81999969482422
2021-04-29,34.2400016784668
2021-04-30,33.099998474121094
2021-05-03,33.630001068115234
2021-05-04,31.90999984741211
2021-05-05,32.66999816894531
2021-05-06,33.209999084472656
2021-05-07,34.279998779296875
2021-05-10,33.83000183105469
2021-05-11,35.43000030517578
2021-05-12,35.040000915527344
2021-05-13,34.060001373291016
2021-05-14,34.84000015258789
2021-05-17,34.52000045776367
2021-05-18,37.63999938964844
2021-05-19,34.33000183105469
2021-05-20,35.599998474121094
2021-05-21,36.380001068115234
2021-05-24,37.27000045776367
2021-05-25,34.70000076293945
2021-05-26,37.34000015258789
2021-05-27,37.310001373291016
2021-05-28,36.95000076293945
2021-06-01,37.459999084472656
2021-06-02,38.02000045776367
2021-06-03,38.150001525878906
2021-06-04,39.040000915527344
2021-06-07,41.45000076293945
2021-06-08,40.54999923706055
2021-06-09,42.0
2021-06-10,42.0
2021-06-11,42.18000030517578
2021-06-14,42.11000061035156
2021-06-15,37.65999984741211
2021-06-16,38.119998931884766
2021-06-17,37.08000183105469
2021-06-18,37.90999984741211
2021-06-21,38.4900016784668
2021-06-22,38.34000015258789
2021-06-23,37.7599983215332
2021-06-24,37.279998779296875
2021-06-25,37.7400016784668
2021-06-28,37.13999938964844
2021-06-29,37.099998474121094
2021-06-30,37.84000015258789
2021-07-01,38.810001373291016
2021-07-02,39.720001220703125
2021-07-06,39.0099983215332
2021-07-07,40.02000045776367
2021-07-08,39.66999816894531
2021-07-09,38.41999816894531
2021-07-12,38.08000183105469
2021-07-13,37.79999923706055
2021-07-14,37.290000915527344
2021-07-15,37.31999969482422
2021-07-16,39.95000076293945
2021-07-19,39.4900016784668
2021-07-20,40.06999969482422
2021-07-21,40.15999984741211
2021-07-22,40.06999969482422
2021-07-23,40.88999938964844
2021-07-26,42.25
2021-07-27,41.15999984741211
2021-07-28,44.439998626708984
2021-07-29,43.650001525878906
2021-07-30,43.13999938964844
2021-08-02,44.79999923706055
2021-08-03,45.939998626708984
2021-08-04,43.119998931884766
2021-08-05,41.029998779296875
2021-08-06,37.68000030517578
2021-08-09,37.16999816894531
2021-08-10,36.709999084472656
2021-08-11,35.90999984741211
2021-08-12,39.65999984741211
2021-08-13,39.349998474121094
2021-08-16,38.77000045776367
2021-08-17,39.65999984741211
2021-08-18,39.869998931884766
2021-08-19,40.83000183105469
2021-08-20,40.939998626708984
2021-08-23,41.88999938964844
2021-08-24,40.61000061035156
2021-08-25,41.38999938964844
2021-08-26,41.09000015258789
2021-08-27,41.540000915527344
2021-08-30,41.54999923706055
2021-08-31,40.130001068115234
2021-09-01,42.029998779296875
2021-09-02,43.56999969482422
2021-09-03,44.130001068115234
2021-09-07,47.209999084472656
2021-09-08,46.77000045776367
2021-09-09,48.91999816894531
2021-09-10,49.029998779296875
2021-09-13,49.75
2021-09-14,49.43000030517578
2021-09-15,48.790000915527344
2021-09-16,49.5
2021-09-17,49.95000076293945
2021-09-20,48.66999816894531
2021-09-21,50.060001373291016
2021-09-22,50.04999923706055
2021-09-23,50.5
2021-09-24,49.15999984741211
2021-09-27,50.0099983215332
2021-09-28,49.5
2021-09-29,47.970001220703125
2021-09-30,44.68000030517578
2021-10-01,45.959999084472656
2021-10-04,44.9900016784668
2021-10-05,44.65999984741211
2021-10-06,44.709999084472656
2021-10-07,44.220001220703125
2021-10-08,42.209999084472656
2021-10-11,41.810001373291016
2021-10-12,41.16999816894531
2021-10-13,41.58000183105469
2021-10-14,44.22999954223633
2021-10-15,43.88999938964844
2021-10-18,42.939998626708984
