Date,Adj Close
2020-06-12,26.149999618530273
2020-06-15,28.520000457763672
2020-06-16,32.900001525878906
2020-06-17,34.0
2020-06-18,34.06999969482422
2020-06-19,35.45000076293945
2020-06-22,32.36000061035156
2020-06-23,33.400001525878906
2020-06-24,32.119998931884766
2020-06-25,33.400001525878906
2020-06-26,32.88999938964844
2020-06-29,31.200000762939453
2020-06-30,31.610000610351562
2020-07-01,30.149999618530273
2020-07-02,29.989999771118164
2020-07-06,29.3799991607666
2020-07-07,28.770000457763672
2020-07-08,29.729999542236328
2020-07-09,29.350000381469727
2020-07-10,29.579999923706055
2020-07-13,29.209999084472656
2020-07-14,28.700000762939453
2020-07-15,26.5
2020-07-16,26.610000610351562
2020-07-17,29.0
2020-07-20,31.010000228881836
2020-07-21,33.4900016784668
2020-07-22,31.729999542236328
2020-07-23,32.5
2020-07-24,30.81999969482422
2020-07-27,31.360000610351562
2020-07-28,29.030000686645508
2020-07-29,30.68000030517578
2020-07-30,31.979999542236328
2020-07-31,31.40999984741211
2020-08-03,34.650001525878906
2020-08-04,33.04999923706055
2020-08-05,33.720001220703125
2020-08-06,33.9900016784668
2020-08-07,35.310001373291016
2020-08-10,38.5
2020-08-11,37.47999954223633
2020-08-12,40.47999954223633
2020-08-13,46.38999938964844
2020-08-14,50.43000030517578
2020-08-17,49.09000015258789
2020-08-18,49.2400016784668
2020-08-19,50.689998626708984
2020-08-20,54.380001068115234
2020-08-21,51.38999938964844
2020-08-24,51.02000045776367
2020-08-25,48.849998474121094
2020-08-26,48.869998931884766
2020-08-27,44.9900016784668
2020-08-28,44.04999923706055
2020-08-31,45.279998779296875
2020-09-01,43.68000030517578
2020-09-02,43.150001525878906
2020-09-03,40.0
2020-09-04,38.849998474121094
2020-09-08,35.939998626708984
2020-09-09,36.81999969482422
2020-09-10,37.130001068115234
2020-09-11,39.560001373291016
2020-09-14,41.52000045776367
2020-09-15,42.5099983215332
2020-09-16,48.380001068115234
2020-09-17,49.41999816894531
2020-09-18,50.470001220703125
2020-09-21,52.47999954223633
2020-09-22,55.220001220703125
2020-09-23,55.400001525878906
2020-09-24,50.529998779296875
2020-09-25,52.0
2020-09-28,51.810001373291016
2020-09-29,51.5
2020-09-30,49.380001068115234
2020-10-01,47.650001525878906
2020-10-02,48.849998474121094
2020-10-05,49.13999938964844
2020-10-06,51.7400016784668
2020-10-07,50.099998474121094
2020-10-08,48.88999938964844
2020-10-09,48.599998474121094
2020-10-12,48.0
2020-10-13,49.869998931884766
2020-10-14,48.52000045776367
2020-10-15,49.40999984741211
2020-10-16,49.68000030517578
2020-10-19,46.88999938964844
2020-10-20,43.310001373291016
