Date,Adj Close
1985-11-20,0.24339927732944489
1985-11-21,0.22987717390060425
1985-11-22,0.23438438773155212
1985-11-25,0.22987717390060425
1985-11-26,0.22987717390060425
1985-11-27,0.22987717390060425
1985-11-29,0.22987717390060425
1985-12-02,0.22086238861083984
1985-12-03,0.22086238861083984
1985-12-04,0.22086238861083984
1985-12-05,0.22086238861083984
1985-12-06,0.22086238861083984
1985-12-09,0.22086238861083984
1985-12-10,0.22086238861083984
1985-12-11,0.22086238861083984
1985-12-12,0.22536949813365936
1985-12-13,0.22987717390060425
1985-12-16,0.22987717390060425
1985-12-17,0.22987717390060425
1985-12-18,0.22536949813365936
1985-12-19,0.22536949813365936
1985-12-20,0.22536949813365936
1985-12-23,0.22086238861083984
1985-12-24,0.22086238861083984
1985-12-26,0.22086238861083984
1985-12-27,0.22086238861083984
1985-12-30,0.22086238861083984
1985-12-31,0.22086238861083984
1986-01-02,0.22086238861083984
1986-01-03,0.22086238861083984
1986-01-06,0.22086238861083984
1986-01-07,0.22086238861083984
1986-01-08,0.22086238861083984
1986-01-09,0.22086238861083984
1986-01-10,0.22086238861083984
1986-01-13,0.22086238861083984
1986-01-14,0.22086238861083984
1986-01-15,0.22536949813365936
1986-01-16,0.22086238861083984
1986-01-17,0.22086238861083984
1986-01-20,0.22086238861083984
1986-01-21,0.22086238861083984
1986-01-22,0.22086238861083984
1986-01-23,0.22086238861083984
1986-01-24,0.22536949813365936
1986-01-27,0.22536949813365936
1986-01-28,0.22086238861083984
1986-01-29,0.22086238861083984
1986-01-30,0.22086238861083984
1986-01-31,0.22086238861083984
1986-02-03,0.22086238861083984
1986-02-04,0.22086238861083984
1986-02-05,0.22086238861083984
1986-02-06,0.22086238861083984
1986-02-07,0.22086238861083984
1986-02-10,0.22086238861083984
1986-02-11,0.22086238861083984
1986-02-12,0.22987717390060425
1986-02-13,0.22536949813365936
1986-02-14,0.22086238861083984
1986-02-18,0.22987717390060425
1986-02-19,0.22086238861083984
1986-02-20,0.22987717390060425
1986-02-21,0.22086238861083984
1986-02-24,0.22086238861083984
1986-02-25,0.22086238861083984
1986-02-26,0.22536949813365936
1986-02-27,0.22987717390060425
1986-02-28,0.25241413712501526
1986-03-03,0.25241413712501526
1986-03-04,0.2569211721420288
1986-03-05,0.24790634214878082
1986-03-06,0.25241413712501526
1986-03-07,0.25241413712501526
1986-03-10,0.2614288926124573
1986-03-11,0.24790634214878082
1986-03-12,0.2614288926124573
1986-03-13,0.2569211721420288
1986-03-14,0.24790634214878082
