Date,Adj Close
2021-04-15,31.0
2021-04-16,30.0
2021-04-19,32.540000915527344
2021-04-20,32.58000183105469
2021-04-21,32.5
2021-04-22,30.75
2021-04-23,31.399999618530273
2021-04-26,32.130001068115234
2021-04-27,32.150001525878906
2021-04-28,32.060001373291016
2021-04-29,31.239999771118164
2021-04-30,31.530000686645508
2021-05-03,32.47999954223633
2021-05-04,32.27000045776367
2021-05-05,32.81999969482422
2021-05-06,32.06999969482422
2021-05-07,33.4900016784668
2021-05-10,33.47999954223633
2021-05-11,31.829999923706055
2021-05-12,31.110000610351562
2021-05-13,29.139999389648438
2021-05-14,29.959999084472656
2021-05-17,30.110000610351562
2021-05-18,31.190000534057617
2021-05-19,30.65999984741211
2021-05-20,31.780000686645508
2021-05-21,34.029998779296875
2021-05-24,33.93000030517578
2021-05-25,34.560001373291016
2021-05-26,33.849998474121094
2021-05-27,36.75
2021-05-28,35.939998626708984
2021-06-01,38.400001525878906
2021-06-02,37.66999816894531
2021-06-03,36.650001525878906
2021-06-04,35.20000076293945
2021-06-07,34.72999954223633
2021-06-08,36.5
2021-06-09,36.9900016784668
2021-06-10,37.0
2021-06-11,36.79999923706055
2021-06-14,38.25
2021-06-15,39.52000045776367
2021-06-16,41.41999816894531
2021-06-17,42.68000030517578
2021-06-18,43.25
2021-06-21,42.099998474121094
2021-06-22,41.97999954223633
2021-06-23,41.779998779296875
2021-06-24,40.83000183105469
2021-06-25,39.400001525878906
2021-06-28,39.91999816894531
2021-06-29,39.189998626708984
2021-06-30,40.56999969482422
2021-07-01,38.720001220703125
2021-07-02,38.650001525878906
2021-07-06,37.27000045776367
2021-07-07,37.0
2021-07-08,35.90999984741211
2021-07-09,35.709999084472656
2021-07-12,36.220001220703125
2021-07-13,35.689998626708984
2021-07-14,34.66999816894531
2021-07-15,34.599998474121094
2021-07-16,34.099998474121094
2021-07-19,34.65999984741211
2021-07-20,34.79999923706055
2021-07-21,35.75
2021-07-22,35.41999816894531
2021-07-23,36.880001068115234
2021-07-26,36.650001525878906
2021-07-27,36.95000076293945
2021-07-28,37.959999084472656
2021-07-29,37.4900016784668
2021-07-30,36.790000915527344
2021-08-02,37.279998779296875
2021-08-03,37.779998779296875
2021-08-04,38.63999938964844
2021-08-05,36.33000183105469
2021-08-06,35.599998474121094
2021-08-09,35.400001525878906
2021-08-10,33.75
2021-08-11,33.86000061035156
2021-08-12,34.95000076293945
2021-08-13,35.029998779296875
2021-08-16,34.9900016784668
2021-08-17,34.650001525878906
2021-08-18,34.79999923706055
2021-08-19,34.2599983215332
2021-08-20,35.11000061035156
2021-08-23,35.970001220703125
2021-08-24,35.52000045776367
2021-08-25,36.0
2021-08-26,35.75
2021-08-27,36.83000183105469
2021-08-30,37.75
2021-08-31,35.0
2021-09-01,34.95000076293945
2021-09-02,37.380001068115234
2021-09-03,36.47999954223633
2021-09-07,35.47999954223633
2021-09-08,32.33000183105469
2021-09-09,31.510000228881836
2021-09-10,31.75
2021-09-13,31.959999084472656
2021-09-14,31.139999389648438
2021-09-15,31.020000457763672
2021-09-16,29.670000076293945
2021-09-17,29.010000228881836
2021-09-20,28.479999542236328
2021-09-21,28.309999465942383
2021-09-22,28.09000015258789
2021-09-23,28.459999084472656
2021-09-24,28.100000381469727
2021-09-27,26.979999542236328
2021-09-28,26.149999618530273
2021-09-29,26.170000076293945
2021-09-30,26.209999084472656
2021-10-01,25.950000762939453
2021-10-04,25.700000762939453
2021-10-05,26.059999465942383
2021-10-06,26.649999618530273
2021-10-07,26.059999465942383
2021-10-08,25.329999923706055
2021-10-11,23.40999984741211
2021-10-12,24.639999389648438
2021-10-13,24.079999923706055
2021-10-14,23.729999542236328
2021-10-15,23.959999084472656
2021-10-18,23.540000915527344
2021-10-19,23.56999969482422
2021-10-20,24.0
2021-10-21,24.459999084472656
2021-10-22,23.709999084472656
2021-10-25,23.489999771118164
2021-10-26,23.790000915527344
2021-10-27,23.850000381469727
2021-10-28,24.170000076293945
2021-10-29,24.5
2021-11-01,24.959999084472656
2021-11-02,24.709999084472656
2021-11-03,24.739999771118164
2021-11-04,25.110000610351562
2021-11-05,24.920000076293945
2021-11-08,25.5
2021-11-09,24.719999313354492
2021-11-10,25.299999237060547
2021-11-11,25.43000030517578
2021-11-12,25.510000228881836
2021-11-15,25.34000015258789
2021-11-16,25.260000228881836
2021-11-17,25.290000915527344
2021-11-18,24.010000228881836
2021-11-19,23.760000228881836
2021-11-22,23.15999984741211
2021-11-23,22.18000030517578
2021-11-24,22.1299991607666
2021-11-26,21.59000015258789
2021-11-29,21.43000030517578
2021-11-30,22.0
2021-12-01,22.5
2021-12-02,23.079999923706055
2021-12-03,21.6200008392334
2021-12-06,22.3799991607666
2021-12-07,23.40999984741211
2021-12-08,23.690000534057617
2021-12-09,22.950000762939453
2021-12-10,22.860000610351562
2021-12-13,22.969999313354492
2021-12-14,22.549999237060547
2021-12-15,23.540000915527344
2021-12-16,22.110000610351562
2021-12-17,23.329999923706055
2021-12-20,24.219999313354492
2021-12-21,25.809999465942383
2021-12-22,27.059999465942383
2021-12-23,27.389999389648438
2021-12-27,26.809999465942383
2021-12-28,26.670000076293945
2021-12-29,26.770000457763672
2021-12-30,27.309999465942383
2021-12-31,27.0
2022-01-03,27.75
2022-01-04,25.670000076293945
2022-01-05,24.530000686645508
2022-01-06,23.530000686645508
2022-01-07,23.260000228881836
