Date,Adj Close
1980-03-11,0.1473187804222107
1980-03-12,0.1473187804222107
1980-03-13,0.1473187804222107
1980-03-14,0.17187191545963287
1980-03-17,0.17187191545963287
1980-03-18,0.1473187804222107
1980-03-19,0.1473187804222107
1980-03-20,0.1473187804222107
1980-03-21,0.1473187804222107
1980-03-24,0.1473187804222107
1980-03-25,0.1473187804222107
1980-03-26,0.17187191545963287
1980-03-27,0.17187191545963287
1980-03-28,0.17187191545963287
1980-03-31,0.17187191545963287
1980-04-01,0.17187191545963287
1980-04-02,0.17187191545963287
1980-04-03,0.17187191545963287
1980-04-07,0.17187191545963287
1980-04-08,0.17187191545963287
1980-04-09,0.19642525911331177
1980-04-10,0.19642525911331177
1980-04-11,0.19642525911331177
1980-04-14,0.19642525911331177
1980-04-15,0.19642525911331177
1980-04-16,0.19642525911331177
1980-04-17,0.19642525911331177
1980-04-18,0.19642525911331177
1980-04-21,0.19642525911331177
1980-04-22,0.19642525911331177
1980-04-23,0.19642525911331177
1980-04-24,0.19642525911331177
1980-04-25,0.19642525911331177
1980-04-28,0.19642525911331177
1980-04-29,0.19642525911331177
1980-04-30,0.19642525911331177
1980-05-01,0.19642525911331177
1980-05-02,0.19642525911331177
1980-05-05,0.19642525911331177
1980-05-06,0.19642525911331177
1980-05-07,0.19642525911331177
1980-05-08,0.19642525911331177
1980-05-09,0.19642525911331177
1980-05-12,0.19642525911331177
1980-05-13,0.19642525911331177
1980-05-14,0.19642525911331177
1980-05-15,0.19642525911331177
1980-05-16,0.19642525911331177
1980-05-19,0.19642525911331177
1980-05-20,0.19642525911331177
1980-05-21,0.22097839415073395
1980-05-22,0.22097839415073395
1980-05-23,0.22097839415073395
1980-05-27,0.19642525911331177
1980-05-28,0.19642525911331177
1980-05-29,0.19642525911331177
1980-05-30,0.19642525911331177
1980-06-02,0.19642525911331177
1980-06-03,0.19642525911331177
1980-06-04,0.19642525911331177
1980-06-05,0.19642525911331177
1980-06-06,0.19642525911331177
1980-06-09,0.19642525911331177
1980-06-10,0.19642525911331177
1980-06-11,0.22097839415073395
1980-06-12,0.22097839415073395
1980-06-13,0.22097839415073395
1980-06-16,0.22097839415073395
1980-06-17,0.22097839415073395
1980-06-18,0.22097839415073395
1980-06-19,0.22097839415073395
1980-06-20,0.22097839415073395
1980-06-23,0.17187191545963287
1980-06-24,0.17187191545963287
