Date,Adj Close
1996-12-03,4.5
1996-12-04,4.5
1996-12-05,4.5
1996-12-06,4.578125
1996-12-09,4.578125
1996-12-10,4.578125
1996-12-11,4.5625
1996-12-12,4.5
1996-12-13,4.625
1996-12-16,4.5
1996-12-17,4.5
1996-12-18,4.5
1996-12-19,4.3125
1996-12-20,4.1875
1996-12-23,4.5
1996-12-24,4.5
1996-12-26,4.25
1996-12-27,4.5625
1996-12-30,4.6875
1996-12-31,4.5
1997-01-02,4.5
1997-01-03,4.375
1997-01-06,4.375
1997-01-07,4.375
1997-01-08,4.375
1997-01-09,4.75
1997-01-10,5.5
1997-01-13,5.5
1997-01-14,5.1875
1997-01-15,5.5625
1997-01-16,5.4375
1997-01-17,5.25
1997-01-20,5.625
1997-01-21,5.375
1997-01-22,5.625
1997-01-23,5.5
1997-01-24,5.5
1997-01-27,5.5
1997-01-28,5.25
1997-01-29,5.0
1997-01-30,5.0
1997-01-31,5.0
1997-02-03,4.96875
1997-02-04,4.9375
1997-02-05,4.8125
1997-02-06,5.0
1997-02-07,5.0
1997-02-10,5.0625
1997-02-11,5.125
1997-02-12,5.125
1997-02-13,5.125
1997-02-14,5.125
1997-02-18,5.125
1997-02-19,5.0625
1997-02-20,4.75
1997-02-21,4.625
1997-02-24,4.8125
1997-02-25,4.6875
1997-02-26,4.9375
1997-02-27,5.0
1997-02-28,5.0
1997-03-03,5.0
1997-03-04,5.125
1997-03-05,4.875
1997-03-06,4.9375
1997-03-07,4.75
1997-03-10,5.0
1997-03-11,4.9375
1997-03-12,4.875
1997-03-13,5.0
1997-03-14,5.0625
1997-03-17,4.75
1997-03-18,4.75
1997-03-19,4.6875
1997-03-20,4.625
1997-03-21,4.6875
1997-03-24,4.6875
1997-03-25,4.640625
1997-03-26,4.5625
1997-03-27,4.5625
1997-03-31,4.6875
1997-04-01,4.507812976837158
1997-04-02,4.625
1997-04-03,4.65625
1997-04-04,5.0
1997-04-07,4.875
1997-04-08,5.125
1997-04-09,5.0
1997-04-10,5.125
1997-04-11,5.3125
1997-04-14,5.25
1997-04-15,5.0
1997-04-16,5.25
1997-04-17,5.25
1997-04-18,5.0
1997-04-21,5.0
1997-04-22,4.875
1997-04-23,4.9375
1997-04-24,4.5
1997-04-25,4.75
1997-04-28,4.75
1997-04-29,4.4375
1997-04-30,4.75
1997-05-01,4.6875
1997-05-02,4.5
1997-05-05,4.75
1997-05-06,4.75
1997-05-07,4.6875
1997-05-08,4.9375
1997-05-09,5.0
1997-05-12,5.25
1997-05-13,4.875
1997-05-14,5.0
1997-05-15,5.0
1997-05-16,4.8125
1997-05-19,5.125
1997-05-20,5.5625
1997-05-21,5.5
1997-05-22,5.5
1997-05-23,5.5
1997-05-27,6.5625
1997-05-28,7.25
1997-05-29,7.0
1997-05-30,7.25
1997-06-02,7.5
1997-06-03,7.625
1997-06-04,7.25
1997-06-05,7.0
1997-06-06,7.1875
1997-06-09,7.1875
1997-06-10,7.0625
1997-06-11,6.625
1997-06-12,6.875
1997-06-13,6.875
1997-06-16,7.4375
1997-06-17,7.5
1997-06-18,7.25
1997-06-19,7.25
1997-06-20,7.25
1997-06-23,7.8125
1997-06-24,7.15625
1997-06-25,7.40625
1997-06-26,7.0625
1997-06-27,7.3125
1997-06-30,7.25
1997-07-01,7.25
