Date,Adj Close
2019-08-15,14.680000305175781
2019-08-16,14.649999618530273
2019-08-19,14.6899995803833
2019-08-20,14.5600004196167
2019-08-21,14.5
2019-08-22,14.630000114440918
2019-08-23,14.34000015258789
2019-08-26,14.5
2019-08-27,14.550000190734863
2019-08-28,14.619999885559082
2019-08-29,14.5
2019-08-30,14.550000190734863
2019-09-03,14.529999732971191
2019-09-04,14.5600004196167
2019-09-05,14.600000381469727
2019-09-06,14.5
2019-09-09,14.520000457763672
2019-09-10,14.510000228881836
2019-09-11,14.59000015258789
2019-09-12,14.5
2019-09-13,14.5600004196167
2019-09-16,14.359999656677246
2019-09-17,14.050000190734863
2019-09-18,14.180000305175781
2019-09-19,14.319999694824219
2019-09-20,14.270000457763672
2019-09-23,14.119999885559082
2019-09-24,14.050000190734863
2019-09-25,14.0600004196167
2019-09-26,14.020000457763672
2019-09-27,13.850000381469727
2019-09-30,14.305000305175781
2019-10-01,14.0600004196167
2019-10-02,13.84000015258789
2019-10-03,13.359999656677246
2019-10-04,13.40999984741211
2019-10-07,13.359999656677246
2019-10-08,13.050000190734863
2019-10-09,12.699999809265137
2019-10-10,12.739999771118164
2019-10-11,12.850000381469727
2019-10-14,12.84000015258789
2019-10-15,12.890000343322754
2019-10-16,12.529999732971191
2019-10-17,12.34000015258789
2019-10-18,12.380000114440918
2019-10-21,12.579999923706055
2019-10-22,12.960000038146973
2019-10-23,12.5600004196167
2019-10-24,12.600000381469727
2019-10-25,12.470000267028809
2019-10-28,12.680000305175781
2019-10-29,12.979999542236328
2019-10-30,13.149999618530273
2019-10-31,13.369999885559082
2019-11-01,13.819999694824219
2019-11-04,13.880000114440918
2019-11-05,14.039999961853027
2019-11-06,13.75
2019-11-07,13.75
2019-11-08,13.84000015258789
2019-11-11,13.8100004196167
2019-11-12,13.869999885559082
2019-11-13,13.550000190734863
2019-11-14,13.119999885559082
2019-11-15,13.149999618530273
2019-11-18,13.170000076293945
2019-11-19,13.600000381469727
2019-11-20,13.59000015258789
2019-11-21,13.569999694824219
2019-11-22,13.430000305175781
2019-11-25,13.329999923706055
2019-11-26,13.670000076293945
2019-11-27,13.59000015258789
2019-11-29,13.260000228881836
2019-12-02,13.460000038146973
2019-12-03,13.609999656677246
2019-12-04,13.550000190734863
2019-12-05,13.770000457763672
2019-12-06,13.800000190734863
2019-12-09,13.729999542236328
2019-12-10,14.180000305175781
2019-12-11,14.039999961853027
2019-12-12,14.0
2019-12-13,14.020000457763672
2019-12-16,14.079999923706055
2019-12-17,14.180000305175781
2019-12-18,13.989999771118164
2019-12-19,14.079999923706055
2019-12-20,14.100000381469727
2019-12-23,14.069999694824219
2019-12-24,14.0
2019-12-26,14.130000114440918
2019-12-27,14.350000381469727
2019-12-30,14.329999923706055
2019-12-31,14.420000076293945
2020-01-02,14.359999656677246
2020-01-03,14.390000343322754
2020-01-06,14.210000038146973
2020-01-07,13.720000267028809
2020-01-08,14.300000190734863
2020-01-09,14.25
2020-01-10,13.609999656677246
2020-01-13,13.5600004196167
2020-01-14,13.430000305175781
2020-01-15,13.489999771118164
2020-01-16,13.5
2020-01-17,13.079999923706055
2020-01-21,13.140000343322754
2020-01-22,13.520000457763672
2020-01-23,13.4399995803833
2020-01-24,13.529999732971191
2020-01-27,13.199999809265137
2020-01-28,13.390000343322754
2020-01-29,13.609999656677246
2020-01-30,13.880000114440918
2020-01-31,13.649999618530273
2020-02-03,13.619999885559082
2020-02-04,13.180000305175781
2020-02-05,13.460000038146973
2020-02-06,13.630000114440918
2020-02-07,13.649999618530273
2020-02-10,13.989999771118164
2020-02-11,13.470000267028809
2020-02-12,13.5
2020-02-13,13.8100004196167
2020-02-14,13.170000076293945
2020-02-18,13.4399995803833
2020-02-19,13.930000305175781
2020-02-20,14.109999656677246
2020-02-21,14.399999618530273
2020-02-24,13.949999809265137
2020-02-25,13.25
2020-02-26,13.449999809265137
2020-02-27,13.550000190734863
2020-02-28,13.25
2020-03-02,13.819999694824219
2020-03-03,13.100000381469727
2020-03-04,12.880000114440918
2020-03-05,12.630000114440918
2020-03-06,12.0
2020-03-09,9.829999923706055
2020-03-10,9.40999984741211
2020-03-11,8.890000343322754
2020-03-12,8.109999656677246
2020-03-13,7.0
2020-03-16,5.739999771118164
2020-03-17,6.650000095367432
2020-03-18,5.940000057220459
2020-03-19,7.650000095367432
2020-03-20,9.220000267028809
2020-03-23,9.319999694824219
2020-03-24,8.270000457763672
2020-03-25,8.260000228881836
2020-03-26,8.359999656677246
2020-03-27,7.849999904632568
2020-03-30,8.09000015258789
2020-03-31,8.399999618530273
2020-04-01,7.739999771118164
2020-04-02,8.380000114440918
2020-04-03,8.680000305175781
2020-04-06,8.859999656677246
2020-04-07,8.170000076293945
2020-04-08,8.90999984741211
2020-04-09,10.010000228881836
2020-04-13,9.229999542236328
2020-04-14,8.960000038146973
2020-04-15,7.940000057220459
2020-04-16,7.610000133514404
2020-04-17,8.460000038146973
2020-04-20,8.520000457763672
2020-04-21,8.489999771118164
2020-04-22,8.079999923706055
2020-04-23,8.329999923706055
2020-04-24,8.390000343322754
2020-04-27,8.9399995803833
2020-04-28,9.170000076293945
2020-04-29,10.289999961853027
2020-04-30,9.670000076293945
2020-05-01,9.239999771118164
2020-05-04,9.40999984741211
2020-05-05,8.670000076293945
2020-05-06,8.180000305175781
2020-05-07,8.760000228881836
2020-05-08,9.460000038146973
2020-05-11,8.65999984741211
2020-05-12,8.210000038146973
2020-05-13,8.239999771118164
