Date,Adj Close
2021-11-18,49.5
2021-11-19,53.0
2021-11-22,44.380001068115234
2021-11-23,39.380001068115234
2021-11-24,41.0099983215332
2021-11-26,40.04999923706055
2021-11-29,41.75
2021-11-30,38.18000030517578
2021-12-01,32.65999984741211
2021-12-02,30.670000076293945
2021-12-03,24.81999969482422
2021-12-06,27.420000076293945
2021-12-07,30.899999618530273
2021-12-08,33.0
2021-12-09,30.459999084472656
2021-12-10,31.940000534057617
2021-12-13,29.520000457763672
2021-12-14,29.75
2021-12-15,30.809999465942383
2021-12-16,30.059999465942383
2021-12-17,27.950000762939453
2021-12-20,27.139999389648438
2021-12-21,28.799999237060547
2021-12-22,29.809999465942383
2021-12-23,31.360000610351562
2021-12-27,35.029998779296875
2021-12-28,30.84000015258789
2021-12-29,31.389999389648438
2021-12-30,32.02000045776367
2021-12-31,32.0
2022-01-03,31.479999542236328
2022-01-04,30.309999465942383
2022-01-05,26.049999237060547
2022-01-06,26.989999771118164
2022-01-07,27.049999237060547
2022-01-10,27.219999313354492
2022-01-11,27.40999984741211
2022-01-12,27.90999984741211
2022-01-13,27.190000534057617
2022-01-14,26.209999084472656
2022-01-18,23.68000030517578
2022-01-19,25.010000228881836
2022-01-20,24.829999923706055
2022-01-21,24.549999237060547
2022-01-24,30.280000686645508
2022-01-25,31.0
2022-01-26,31.200000762939453
2022-01-27,28.489999771118164
2022-01-28,29.200000762939453
2022-01-31,30.25
2022-02-01,30.649999618530273
2022-02-02,28.0
2022-02-03,26.469999313354492
2022-02-04,26.799999237060547
2022-02-07,26.56999969482422
2022-02-08,28.799999237060547
2022-02-09,29.889999389648438
2022-02-10,30.549999237060547
2022-02-11,27.350000381469727
2022-02-14,27.190000534057617
2022-02-15,28.739999771118164
2022-02-16,27.799999237060547
2022-02-17,25.93000030517578
2022-02-18,24.229999542236328
2022-02-22,24.440000534057617
2022-02-23,24.09000015258789
2022-02-24,25.049999237060547
2022-02-25,24.1299991607666
2022-02-28,25.329999923706055
2022-03-01,23.010000228881836
2022-03-02,24.079999923706055
2022-03-03,21.350000381469727
2022-03-04,26.780000686645508
2022-03-07,27.020000457763672
2022-03-08,29.899999618530273
2022-03-09,30.920000076293945
2022-03-10,31.65999984741211
2022-03-11,33.36000061035156
2022-03-14,33.0
2022-03-15,35.70000076293945
2022-03-16,36.150001525878906
2022-03-17,38.75
2022-03-18,35.58000183105469
2022-03-21,33.4900016784668
2022-03-22,35.40999984741211
2022-03-23,32.2400016784668
2022-03-24,33.720001220703125
2022-03-25,32.400001525878906
2022-03-28,34.689998626708984
2022-03-29,36.06999969482422
2022-03-30,34.9900016784668
2022-03-31,31.989999771118164
2022-04-01,31.739999771118164
2022-04-04,33.5
2022-04-05,31.040000915527344
2022-04-06,30.549999237060547
2022-04-07,29.760000228881836
2022-04-08,27.829999923706055
2022-04-11,28.1200008392334
2022-04-12,27.059999465942383
2022-04-13,27.709999084472656
2022-04-14,26.969999313354492
2022-04-18,26.43000030517578
2022-04-19,28.290000915527344
2022-04-20,28.469999313354492
2022-04-21,28.020000457763672
2022-04-22,28.020000457763672
2022-04-25,28.420000076293945
2022-04-26,27.809999465942383
2022-04-27,27.579999923706055
2022-04-28,27.729999542236328
2022-04-29,27.0
2022-05-02,27.079999923706055
2022-05-03,27.459999084472656
2022-05-04,28.190000534057617
2022-05-05,26.149999618530273
2022-05-06,23.809999465942383
2022-05-09,20.350000381469727
2022-05-10,20.520000457763672
2022-05-11,17.709999084472656
2022-05-12,17.639999389648438
2022-05-13,17.600000381469727
2022-05-16,16.610000610351562
2022-05-17,18.920000076293945
2022-05-18,19.18000030517578
2022-05-19,22.229999542236328
2022-05-20,20.530000686645508
