Date,Adj Close
2019-09-16,25.5
2019-09-17,21.867000579833984
2019-09-18,21.867000579833984
2019-09-19,18.82900047302246
2019-09-20,17.5
2019-09-23,17.733999252319336
2019-09-24,18.0
2019-09-25,17.950000762939453
2019-09-26,17.5
2019-09-27,17.5
2019-09-30,17.25
2019-10-01,17.75
2019-10-02,15.350000381469727
2019-10-03,15.699999809265137
2019-10-04,13.850000381469727
2019-10-07,13.949999809265137
2019-10-08,14.029999732971191
2019-10-09,15.3100004196167
2019-10-10,16.020000457763672
2019-10-11,16.260000228881836
2019-10-14,16.780000686645508
2019-10-15,15.949999809265137
2019-10-16,15.739999771118164
2019-10-17,15.109999656677246
2019-10-18,15.050000190734863
2019-10-21,15.779999732971191
2019-10-22,15.979999542236328
2019-10-23,15.720000267028809
2019-10-24,15.390000343322754
2019-10-25,15.539999961853027
2019-10-28,15.449999809265137
2019-10-29,15.579999923706055
2019-10-30,15.770000457763672
2019-10-31,15.5
2019-11-01,15.800000190734863
2019-11-04,15.9399995803833
2019-11-05,15.899999618530273
2019-11-06,15.829999923706055
2019-11-07,16.200000762939453
2019-11-08,16.100000381469727
2019-11-11,15.90999984741211
2019-11-12,15.550000190734863
2019-11-13,15.15999984741211
2019-11-14,15.270000457763672
2019-11-15,15.520000457763672
2019-11-18,14.899999618530273
2019-11-19,14.859999656677246
2019-11-20,14.880000114440918
2019-11-21,14.800000190734863
2019-11-22,15.039999961853027
2019-11-25,15.1899995803833
2019-11-26,14.59000015258789
2019-11-27,15.029999732971191
2019-11-29,15.5600004196167
2019-12-02,15.579999923706055
2019-12-03,15.739999771118164
2019-12-04,15.09000015258789
2019-12-05,15.229999542236328
2019-12-06,15.210000038146973
2019-12-09,15.399999618530273
2019-12-10,15.680000305175781
2019-12-11,15.600000381469727
2019-12-12,15.979999542236328
2019-12-13,16.520000457763672
2019-12-16,17.860000610351562
2019-12-17,18.90999984741211
2019-12-18,20.6299991607666
2019-12-19,20.729999542236328
2019-12-20,21.6299991607666
2019-12-23,21.579999923706055
2019-12-24,21.440000534057617
2019-12-26,21.260000228881836
2019-12-27,20.96500015258789
2019-12-30,21.93000030517578
2019-12-31,22.6299991607666
2020-01-02,22.700000762939453
2020-01-03,22.899999618530273
2020-01-06,21.979999542236328
2020-01-07,20.6299991607666
2020-01-08,20.31999969482422
2020-01-09,20.559999465942383
2020-01-10,19.989999771118164
2020-01-13,20.3700008392334
2020-01-14,21.700000762939453
