Date,Adj Close
2020-06-22,10.0
2020-06-23,9.90999984741211
2020-06-24,9.779999732971191
2020-06-25,9.899999618530273
2020-06-26,9.9399995803833
2020-06-29,9.968999862670898
2020-06-30,9.970000267028809
2020-07-01,9.970000267028809
2020-07-02,10.0
2020-07-06,9.899999618530273
2020-07-07,10.050000190734863
2020-07-08,9.979999542236328
2020-07-09,10.0
2020-07-10,10.020000457763672
2020-07-13,10.0
2020-07-14,10.0
2020-07-15,10.989999771118164
2020-07-16,10.699999809265137
2020-07-17,10.930000305175781
2020-07-20,11.279999732971191
2020-07-21,12.399999618530273
2020-07-22,14.880000114440918
2020-07-23,14.4399995803833
2020-07-24,13.649999618530273
2020-07-27,13.09000015258789
2020-07-28,12.630000114440918
2020-07-29,12.100000381469727
2020-07-30,12.119999885559082
2020-07-31,11.800000190734863
2020-08-03,11.649999618530273
2020-08-04,11.630000114440918
2020-08-05,12.0
2020-08-06,11.75
2020-08-07,11.460000038146973
2020-08-10,12.279999732971191
2020-08-11,12.100000381469727
2020-08-12,11.899999618530273
2020-08-13,12.199999809265137
2020-08-14,12.170000076293945
2020-08-17,12.199999809265137
2020-08-18,12.0
2020-08-19,12.170000076293945
2020-08-20,12.239999771118164
2020-08-21,12.0
2020-08-24,12.039999961853027
2020-08-25,12.029999732971191
2020-08-26,12.0
2020-08-27,12.699999809265137
2020-08-28,13.460000038146973
2020-08-31,13.5
2020-09-01,13.399999618530273
2020-09-02,14.289999961853027
2020-09-03,14.600000381469727
2020-09-04,15.15999984741211
2020-09-08,15.109999656677246
2020-09-09,14.5
2020-09-10,14.020000457763672
2020-09-11,14.0
2020-09-14,14.600000381469727
2020-09-15,15.34000015258789
2020-09-16,15.199999809265137
2020-09-17,14.789999961853027
2020-09-18,15.050000190734863
2020-09-21,14.5
2020-09-22,14.25
2020-09-23,13.5
2020-09-24,13.890000343322754
2020-09-25,14.100000381469727
2020-09-28,14.149999618530273
2020-09-29,13.979999542236328
2020-09-30,13.579999923706055
2020-10-01,14.239999771118164
2020-10-02,14.0
2020-10-05,14.1899995803833
2020-10-06,13.529999732971191
2020-10-07,13.6899995803833
2020-10-08,13.619999885559082
2020-10-09,13.899999618530273
2020-10-12,14.319999694824219
2020-10-13,13.65999984741211
2020-10-14,13.449999809265137
2020-10-15,14.0
2020-10-16,13.880000114440918
2020-10-19,14.010000228881836
2020-10-20,13.779999732971191
2020-10-21,13.699999809265137
2020-10-22,13.420000076293945
2020-10-23,13.350000381469727
2020-10-26,12.800000190734863
2020-10-27,12.210000038146973
2020-10-28,11.229999542236328
2020-10-29,11.390000343322754
2020-10-30,11.109999656677246
2020-11-02,11.079999923706055
2020-11-03,11.460000038146973
2020-11-04,11.529999732971191
2020-11-05,11.930000305175781
2020-11-06,11.789999961853027
2020-11-09,11.460000038146973
2020-11-10,12.399999618530273
2020-11-11,13.289999961853027
2020-11-12,13.65999984741211
2020-11-13,13.890000343322754
2020-11-16,14.0
2020-11-17,14.390000343322754
2020-11-18,15.09000015258789
2020-11-19,15.729999542236328
2020-11-20,16.75
2020-11-23,18.799999237060547
2020-11-24,22.229999542236328
2020-11-25,22.290000915527344
2020-11-27,21.709999084472656
2020-11-30,21.520000457763672
2020-12-01,20.549999237060547
2020-12-02,20.90999984741211
2020-12-03,22.110000610351562
2020-12-04,23.059999465942383
2020-12-07,27.68000030517578
2020-12-08,26.209999084472656
2020-12-09,26.1299991607666
2020-12-10,25.139999389648438
2020-12-11,26.43000030517578
2020-12-14,26.299999237060547
2020-12-15,25.68000030517578
2020-12-16,28.229999542236328
2020-12-17,32.619998931884766
2020-12-18,32.5099983215332
2020-12-21,35.720001220703125
