Date,Adj Close
2020-12-11,38.08000183105469
2020-12-14,33.59000015258789
2020-12-15,35.0099983215332
2020-12-16,38.779998779296875
2020-12-17,39.25
2020-12-18,35.54999923706055
2020-12-21,36.810001373291016
2020-12-22,37.54999923706055
2020-12-23,40.18000030517578
2020-12-24,37.81999969482422
2020-12-28,37.540000915527344
2020-12-29,33.900001525878906
2020-12-30,34.959999084472656
2020-12-31,33.720001220703125
2021-01-04,33.0
2021-01-05,32.369998931884766
2021-01-06,32.619998931884766
2021-01-07,32.66999816894531
2021-01-08,35.130001068115234
2021-01-11,35.040000915527344
2021-01-12,34.599998474121094
2021-01-13,33.31999969482422
2021-01-14,34.33000183105469
2021-01-15,36.34000015258789
2021-01-19,37.20000076293945
2021-01-20,36.599998474121094
2021-01-21,37.22999954223633
2021-01-22,37.33000183105469
2021-01-25,36.79999923706055
2021-01-26,36.310001373291016
2021-01-27,33.130001068115234
2021-01-28,34.540000915527344
2021-01-29,34.41999816894531
2021-02-01,34.9900016784668
2021-02-02,35.040000915527344
2021-02-03,35.720001220703125
2021-02-04,35.97999954223633
2021-02-05,35.72999954223633
2021-02-08,37.61000061035156
2021-02-09,38.95000076293945
2021-02-10,38.20000076293945
2021-02-11,39.0
2021-02-12,38.869998931884766
2021-02-16,38.95000076293945
2021-02-17,38.65999984741211
2021-02-18,37.20000076293945
2021-02-19,35.84000015258789
2021-02-22,36.36000061035156
2021-02-23,36.2599983215332
2021-02-24,36.060001373291016
2021-02-25,32.970001220703125
2021-02-26,34.650001525878906
2021-03-01,35.970001220703125
2021-03-02,35.4900016784668
2021-03-03,33.90999984741211
2021-03-04,30.520000457763672
2021-03-05,26.3700008392334
2021-03-08,25.719999313354492
2021-03-09,25.950000762939453
2021-03-10,26.690000534057617
2021-03-11,27.0
2021-03-12,27.440000534057617
2021-03-15,30.40999984741211
2021-03-16,31.010000228881836
2021-03-17,31.510000228881836
2021-03-18,30.440000534057617
2021-03-19,30.940000534057617
2021-03-22,30.510000228881836
2021-03-23,27.780000686645508
2021-03-24,25.6200008392334
2021-03-25,28.559999465942383
2021-03-26,28.170000076293945
2021-03-29,25.579999923706055
2021-03-30,26.399999618530273
2021-03-31,27.299999237060547
2021-04-01,27.450000762939453
2021-04-05,27.600000381469727
2021-04-06,27.079999923706055
2021-04-07,26.889999389648438
2021-04-08,26.280000686645508
2021-04-09,26.959999084472656
2021-04-12,27.25
2021-04-13,27.68000030517578
2021-04-14,28.030000686645508
2021-04-15,28.059999465942383
2021-04-16,28.059999465942383
2021-04-19,28.06999969482422
2021-04-20,27.329999923706055
2021-04-21,28.110000610351562
2021-04-22,29.729999542236328
2021-04-23,31.110000610351562
2021-04-26,32.540000915527344
2021-04-27,32.93000030517578
2021-04-28,32.720001220703125
2021-04-29,33.310001373291016
2021-04-30,31.809999465942383
2021-05-03,31.729999542236328
2021-05-04,30.09000015258789
2021-05-05,31.389999389648438
2021-05-06,29.3799991607666
2021-05-07,29.469999313354492
2021-05-10,29.34000015258789
2021-05-11,28.290000915527344
2021-05-12,27.049999237060547
2021-05-13,25.6299991607666
2021-05-14,25.760000228881836
2021-05-17,24.790000915527344
2021-05-18,25.90999984741211
2021-05-19,25.56999969482422
2021-05-20,26.399999618530273
2021-05-21,26.610000610351562
2021-05-24,25.850000381469727
2021-05-25,26.239999771118164
2021-05-26,26.75
2021-05-27,26.389999389648438
2021-05-28,26.309999465942383
