Date,Adj Close
2021-10-20,9.6899995803833
2021-10-21,9.6899995803833
2021-10-22,9.6899995803833
2021-10-25,9.699999809265137
2021-10-26,9.699999809265137
2021-10-27,9.699999809265137
2021-10-28,9.699999809265137
2021-10-29,9.71500015258789
2021-11-01,9.71500015258789
2021-11-02,9.739999771118164
2021-11-03,9.739999771118164
2021-11-04,9.739999771118164
2021-11-05,9.729999542236328
2021-11-08,9.720000267028809
2021-11-09,9.720000267028809
2021-11-10,9.720000267028809
2021-11-11,9.710000038146973
2021-11-12,9.720000267028809
2021-11-15,9.729999542236328
2021-11-16,9.725000381469727
2021-11-17,9.739999771118164
2021-11-18,9.739999771118164
2021-11-19,9.75
2021-11-22,9.717000007629395
2021-11-23,9.729999542236328
2021-11-24,9.729999542236328
2021-11-26,9.75
2021-11-29,9.75
2021-11-30,9.739999771118164
2021-12-01,9.739999771118164
2021-12-02,9.739999771118164
2021-12-03,9.729999542236328
2021-12-06,9.729999542236328
2021-12-07,9.720000267028809
2021-12-08,9.739999771118164
2021-12-09,9.739999771118164
2021-12-10,9.729999542236328
2021-12-13,9.729999542236328
2021-12-14,9.720000267028809
2021-12-15,9.720000267028809
2021-12-16,9.720000267028809
2021-12-17,9.729999542236328
2021-12-20,9.729999542236328
2021-12-21,9.729999542236328
2021-12-22,9.739999771118164
2021-12-23,9.75
2021-12-27,9.739999771118164
2021-12-28,9.739999771118164
2021-12-29,9.739999771118164
2021-12-30,9.739999771118164
2021-12-31,9.739999771118164
2022-01-03,10.234999656677246
2022-01-04,9.770000457763672
2022-01-05,9.770000457763672
2022-01-06,9.739999771118164
2022-01-07,9.8100004196167
2022-01-10,9.739999771118164
2022-01-11,9.720000267028809
2022-01-12,9.75
2022-01-13,9.75
2022-01-14,9.75
2022-01-18,9.75
2022-01-19,9.75
2022-01-20,9.75
2022-01-21,9.75
2022-01-24,9.75
2022-01-25,9.720000267028809
2022-01-26,9.720000267028809
2022-01-27,9.6899995803833
2022-01-28,9.6899995803833
2022-01-31,9.699999809265137
2022-02-01,9.770000457763672
2022-02-02,9.760000228881836
2022-02-03,9.730999946594238
2022-02-04,9.730999946594238
2022-02-07,9.730999946594238
2022-02-08,9.730999946594238
2022-02-09,9.730999946594238
2022-02-10,9.755000114440918
2022-02-11,9.755000114440918
2022-02-14,9.755000114440918
2022-02-15,9.755000114440918
2022-02-16,9.760000228881836
2022-02-17,9.779999732971191
2022-02-18,9.770000457763672
2022-02-22,9.770000457763672
2022-02-23,9.779999732971191
2022-02-24,9.779999732971191
2022-02-25,9.779999732971191
2022-02-28,9.729999542236328
2022-03-01,9.739999771118164
2022-03-02,9.739999771118164
2022-03-03,9.739999771118164
2022-03-04,9.739999771118164
2022-03-07,9.739999771118164
2022-03-08,9.760000228881836
2022-03-09,9.739999771118164
2022-03-10,9.739999771118164
2022-03-11,9.800000190734863
2022-03-14,9.800000190734863
2022-03-15,9.800000190734863
2022-03-16,9.770000457763672
2022-03-17,9.770000457763672
2022-03-18,9.770000457763672
2022-03-21,9.779999732971191
2022-03-22,9.779999732971191
2022-03-23,9.779999732971191
2022-03-24,9.75
2022-03-25,9.760000228881836
2022-03-28,9.760000228881836
2022-03-29,9.770000457763672
2022-03-30,9.770000457763672
2022-03-31,9.779999732971191
2022-04-01,9.789999961853027
2022-04-04,9.875
2022-04-05,9.880000114440918
2022-04-06,9.899999618530273
2022-04-07,9.890000343322754
2022-04-08,9.920000076293945
2022-04-11,9.899999618530273
2022-04-12,9.90999984741211
2022-04-13,9.95300006866455
2022-04-14,9.989999771118164
2022-04-18,10.010000228881836
2022-04-19,10.010000228881836
2022-04-20,10.0
2022-04-21,9.970000267028809
2022-04-22,9.930000305175781
2022-04-25,9.90999984741211
2022-04-26,9.920000076293945
2022-04-27,9.9399995803833
2022-04-28,10.020000457763672
2022-04-29,9.920999526977539
2022-05-02,9.949999809265137
2022-05-03,9.970000267028809
2022-05-04,9.949999809265137
2022-05-05,9.960000038146973
2022-05-06,9.930000305175781
2022-05-09,9.850000381469727
2022-05-10,9.890000343322754
2022-05-11,9.880000114440918
2022-05-12,9.835000038146973
