Date,Adj Close
2022-03-01,9.699999809265137
2022-03-02,9.640000343322754
2022-03-03,9.670000076293945
2022-03-04,9.670000076293945
2022-03-07,9.619999885559082
2022-03-08,9.630000114440918
2022-03-09,9.630000114440918
2022-03-10,9.619999885559082
2022-03-11,9.649999618530273
2022-03-14,9.609999656677246
2022-03-15,9.630000114440918
2022-03-16,9.649999618530273
2022-03-17,9.649999618530273
2022-03-18,9.850000381469727
2022-03-21,9.850000381469727
2022-03-22,9.8100004196167
2022-03-23,9.710000038146973
2022-03-24,9.699999809265137
2022-03-25,9.739999771118164
2022-03-28,9.739999771118164
2022-03-29,9.710000038146973
2022-03-30,9.65999984741211
2022-03-31,9.729999542236328
2022-04-01,9.770000457763672
2022-04-04,9.75
2022-04-05,9.75
2022-04-06,9.75
2022-04-07,9.75
2022-04-08,9.699999809265137
2022-04-11,9.699999809265137
2022-04-12,9.739999771118164
2022-04-13,9.739999771118164
2022-04-14,9.760000228881836
2022-04-18,9.75
2022-04-19,9.729999542236328
2022-04-20,9.710000038146973
2022-04-21,9.75
2022-04-22,9.75
2022-04-25,9.75
2022-04-26,9.75
2022-04-27,9.739999771118164
2022-04-28,9.75
2022-04-29,9.8100004196167
2022-05-02,9.75
2022-05-03,9.720000267028809
2022-05-04,9.760000228881836
2022-05-05,9.729999542236328
2022-05-06,9.720000267028809
2022-05-09,9.680000305175781
2022-05-10,9.670000076293945
2022-05-11,9.65999984741211
2022-05-12,9.630000114440918
2022-05-13,9.640000343322754
2022-05-16,9.65999984741211
2022-05-17,9.635000228881836
2022-05-18,9.640000343322754
2022-05-19,9.631999969482422
2022-05-20,9.631999969482422
2022-05-23,9.640000343322754
2022-05-24,9.640000343322754
2022-05-25,9.649999618530273
2022-05-26,9.649999618530273
2022-05-27,9.649999618530273
2022-05-31,9.619999885559082
2022-06-01,9.609999656677246
2022-06-02,9.649999618530273
2022-06-03,9.619999885559082
2022-06-06,9.640000343322754
2022-06-07,9.640000343322754
2022-06-08,9.65999984741211
2022-06-09,9.630000114440918
2022-06-10,9.640000343322754
2022-06-13,9.630000114440918
2022-06-14,9.630000114440918
2022-06-15,9.635000228881836
2022-06-16,9.600000381469727
2022-06-17,9.619999885559082
2022-06-21,9.619999885559082
2022-06-22,9.600000381469727
2022-06-23,9.609999656677246
2022-06-24,9.619999885559082
2022-06-27,9.619999885559082
2022-06-28,9.609999656677246
2022-06-29,9.600000381469727
2022-06-30,9.59000015258789
2022-07-01,9.600000381469727
2022-07-05,9.609999656677246
2022-07-06,9.609999656677246
2022-07-07,9.600000381469727
2022-07-08,9.609999656677246
2022-07-11,9.609999656677246
2022-07-12,9.609999656677246
2022-07-13,9.609999656677246
2022-07-14,9.619999885559082
2022-07-15,9.609999656677246
2022-07-18,9.609999656677246
2022-07-19,9.609999656677246
2022-07-20,9.628000259399414
2022-07-21,9.630000114440918
2022-07-22,9.630000114440918
2022-07-25,9.619999885559082
2022-07-26,9.630000114440918
2022-07-27,9.630000114440918
2022-07-28,9.609999656677246
2022-07-29,9.609999656677246
2022-08-01,9.609999656677246
2022-08-02,9.609999656677246
2022-08-03,9.640000343322754
2022-08-04,9.65999984741211
