Date,Adj Close
2022-04-13,4.849999904632568
2022-04-14,4.78000020980835
2022-04-18,4.5
2022-04-19,4.75
2022-04-20,4.699999809265137
2022-04-21,4.110000133514404
2022-04-22,4.019999980926514
2022-04-25,4.0
2022-04-26,3.799999952316284
2022-04-27,3.5799999237060547
2022-04-28,3.430000066757202
2022-04-29,3.359999895095825
2022-05-02,2.950000047683716
2022-05-03,2.950000047683716
2022-05-04,3.2200000286102295
2022-05-05,3.369999885559082
2022-05-06,3.5399999618530273
2022-05-09,2.819999933242798
2022-05-10,2.5899999141693115
2022-05-11,2.450000047683716
2022-05-12,1.7999999523162842
2022-05-13,1.7999999523162842
2022-05-16,2.180000066757202
2022-05-17,2.5
2022-05-18,2.5399999618530273
2022-05-19,3.0899999141693115
2022-05-20,3.6500000953674316
2022-05-23,3.559999942779541
2022-05-24,3.6600000858306885
2022-05-25,3.7699999809265137
2022-05-26,3.799999952316284
2022-05-27,4.599999904632568
2022-05-31,4.829999923706055
2022-06-01,4.860000133514404
2022-06-02,4.800000190734863
2022-06-03,4.349999904632568
2022-06-06,3.7899999618530273
2022-06-07,3.8399999141693115
2022-06-08,3.9800000190734863
2022-06-09,3.450000047683716
2022-06-10,2.740000009536743
2022-06-13,1.2999999523162842
2022-06-14,1.0299999713897705
2022-06-15,1.0099999904632568
2022-06-16,1.0299999713897705
2022-06-17,1.0800000429153442
2022-06-21,1.2100000381469727
2022-06-22,1.2000000476837158
2022-06-23,1.090000033378601
2022-06-24,1.1699999570846558
2022-06-27,1.0700000524520874
2022-06-28,1.149999976158142
2022-06-29,1.100000023841858
2022-06-30,1.0499999523162842
2022-07-01,0.9649999737739563
2022-07-05,1.0199999809265137
2022-07-06,0.9879999756813049
2022-07-07,1.100000023841858
2022-07-08,1.059999942779541
2022-07-11,1.059999942779541
2022-07-12,0.9860000014305115
2022-07-13,0.8799999952316284
2022-07-14,0.8980000019073486
2022-07-15,1.0399999618530273
2022-07-18,1.059999942779541
2022-07-19,2.119999885559082
2022-07-20,2.490000009536743
2022-07-21,2.25
2022-07-22,2.130000114440918
2022-07-25,1.940000057220459
2022-07-26,1.8600000143051147
2022-07-27,2.1600000858306885
2022-07-28,2.200000047683716
2022-07-29,2.119999885559082
2022-08-01,2.25
2022-08-02,2.359999895095825
2022-08-03,2.319999933242798
2022-08-04,2.180000066757202
2022-08-05,2.0299999713897705
2022-08-08,2.190000057220459
2022-08-09,2.069999933242798
2022-08-10,2.109999895095825
2022-08-11,2.1500000953674316
2022-08-12,2.180000066757202
2022-08-15,2.2899999618530273
2022-08-16,2.180000066757202
2022-08-17,2.119999885559082
2022-08-18,2.049999952316284
2022-08-19,1.9700000286102295
2022-08-22,1.8899999856948853
2022-08-23,1.909999966621399
2022-08-24,1.9800000190734863
2022-08-25,1.9199999570846558
2022-08-26,2.059999942779541
2022-08-29,2.140000104904175
2022-08-30,2.0799999237060547
2022-08-31,2.369999885559082
2022-09-01,2.190000057220459
2022-09-02,2.240000009536743
2022-09-06,2.0999999046325684
2022-09-07,2.109999895095825
2022-09-08,2.0899999141693115
2022-09-09,2.259999990463257
2022-09-12,2.319999933242798
2022-09-13,2.0899999141693115
2022-09-14,2.109999895095825
2022-09-15,1.9800000190734863
2022-09-16,2.1500000953674316
2022-09-19,2.0799999237060547
2022-09-20,2.059999942779541
2022-09-21,1.9199999570846558
2022-09-22,1.7599999904632568
2022-09-23,1.590000033378601
2022-09-26,1.590000033378601
2022-09-27,1.7300000190734863
2022-09-28,1.7400000095367432
2022-09-29,1.600000023841858
2022-09-30,1.7000000476837158
2022-10-03,1.7300000190734863
2022-10-04,1.7300000190734863
2022-10-05,1.649999976158142
2022-10-06,1.6200000047683716
2022-10-07,1.5499999523162842
2022-10-10,1.600000023841858
2022-10-11,1.6799999475479126
2022-10-12,1.7400000095367432
2022-10-13,1.9299999475479126
2022-10-14,1.9299999475479126
2022-10-17,2.0399999618530273
2022-10-18,2.109999895095825
2022-10-19,2.0999999046325684
2022-10-20,2.049999952316284
2022-10-21,2.009999990463257
2022-10-24,2.069999933242798
2022-10-25,2.2100000381469727
2022-10-26,2.200000047683716
2022-10-27,2.200000047683716
2022-10-28,2.2200000286102295
2022-10-31,2.25
2022-11-01,2.2899999618530273
2022-11-02,2.259999990463257
2022-11-03,2.25
2022-11-04,2.4100000858306885
2022-11-07,2.5299999713897705
2022-11-08,2.359999895095825
2022-11-09,1.9700000286102295
2022-11-10,2.0999999046325684
2022-11-11,2.3399999141693115
2022-11-14,2.3499999046325684
2022-11-15,2.450000047683716
2022-11-16,2.4700000286102295
2022-11-17,2.430000066757202
2022-11-18,2.200000047683716
2022-11-21,2.140000104904175
2022-11-22,2.109999895095825
2022-11-23,2.240000009536743
2022-11-25,2.240000009536743
2022-11-28,2.0
2022-11-29,2.009999990463257
2022-11-30,1.9500000476837158
2022-12-01,1.909999966621399
2022-12-02,1.8899999856948853
2022-12-05,1.9199999570846558
2022-12-06,1.7999999523162842
2022-12-07,1.600000023841858
2022-12-08,1.6399999856948853
2022-12-09,1.590000033378601
2022-12-12,1.7000000476837158
2022-12-13,1.600000023841858
2022-12-14,1.6299999952316284
2022-12-15,1.6100000143051147
2022-12-16,1.6100000143051147
2022-12-19,1.5099999904632568
2022-12-20,1.6100000143051147
2022-12-21,1.7100000381469727
2022-12-22,1.9199999570846558
2022-12-23,1.9199999570846558
2022-12-27,1.8300000429153442
2022-12-28,1.7699999809265137
2022-12-29,1.8799999952316284
2022-12-30,1.840000033378601
2023-01-03,1.840000033378601
2023-01-04,1.8300000429153442
2023-01-05,1.7899999618530273
2023-01-06,1.8600000143051147
2023-01-09,2.0799999237060547
2023-01-10,2.1700000762939453
2023-01-11,2.0999999046325684
2023-01-12,2.200000047683716
2023-01-13,2.140000104904175
2023-01-17,2.25
2023-01-18,2.359999895095825
2023-01-19,2.4200000762939453
2023-01-20,2.4000000953674316
2023-01-23,2.3399999141693115
