Date,Adj Close
2020-11-19,49.0
2020-11-20,48.900001525878906
2020-11-23,52.779998779296875
2020-11-24,47.11000061035156
2020-11-25,49.5
2020-11-27,49.79999923706055
2020-11-30,51.0
2020-12-01,54.5
2020-12-02,53.38999938964844
2020-12-03,50.83000183105469
2020-12-04,49.0
2020-12-07,44.93000030517578
2020-12-08,42.869998931884766
2020-12-09,43.720001220703125
2020-12-10,45.72999954223633
2020-12-11,43.279998779296875
2020-12-14,40.20000076293945
2020-12-15,39.2599983215332
2020-12-16,37.09000015258789
2020-12-17,40.06999969482422
2020-12-18,44.0
2020-12-21,43.0
2020-12-22,46.2400016784668
2020-12-23,49.75
2020-12-24,51.5
2020-12-28,48.7400016784668
2020-12-29,46.7599983215332
2020-12-30,48.7599983215332
2020-12-31,48.08000183105469
2021-01-04,45.68000030517578
2021-01-05,42.31999969482422
2021-01-06,43.119998931884766
2021-01-07,42.77000045776367
2021-01-08,42.209999084472656
2021-01-11,41.38999938964844
2021-01-12,42.0
2021-01-13,42.099998474121094
2021-01-14,41.369998931884766
2021-01-15,41.790000915527344
2021-01-19,42.970001220703125
2021-01-20,41.86000061035156
2021-01-21,42.630001068115234
2021-01-22,44.95000076293945
2021-01-25,46.36000061035156
2021-01-26,48.72999954223633
2021-01-27,46.060001373291016
2021-01-28,42.09000015258789
2021-01-29,42.45000076293945
2021-02-01,41.7599983215332
2021-02-02,43.0
2021-02-03,42.7400016784668
2021-02-04,42.0
2021-02-05,47.400001525878906
2021-02-08,49.95000076293945
2021-02-09,49.70000076293945
2021-02-10,51.459999084472656
2021-02-11,52.7599983215332
2021-02-12,47.599998474121094
2021-02-16,48.54999923706055
2021-02-17,50.97999954223633
2021-02-18,50.099998474121094
2021-02-19,53.63999938964844
2021-02-22,51.560001373291016
2021-02-23,43.81999969482422
2021-02-24,43.18000030517578
2021-02-25,41.630001068115234
2021-02-26,39.91999816894531
2021-03-01,40.43000030517578
2021-03-02,39.380001068115234
2021-03-03,37.75
2021-03-04,36.40999984741211
2021-03-05,37.65999984741211
2021-03-08,38.34000015258789
2021-03-09,41.16999816894531
2021-03-10,44.79999923706055
2021-03-11,42.900001525878906
2021-03-12,47.119998931884766
2021-03-15,45.630001068115234
2021-03-16,49.63999938964844
2021-03-17,49.66999816894531
2021-03-18,44.59000015258789
2021-03-19,44.29999923706055
2021-03-22,38.13999938964844
2021-03-23,37.67499923706055
2021-03-24,31.440000534057617
2021-03-25,32.0099983215332
2021-03-26,30.479999542236328
2021-03-29,27.809999465942383
2021-03-30,28.920000076293945
2021-03-31,33.18000030517578
2021-04-01,34.38999938964844
2021-04-05,34.79999923706055
2021-04-06,31.920000076293945
2021-04-07,29.940000534057617
2021-04-08,32.720001220703125
2021-04-09,32.84000015258789
2021-04-12,31.729999542236328
2021-04-13,32.47999954223633
2021-04-14,35.86000061035156
2021-04-15,35.369998931884766
2021-04-16,36.13999938964844
2021-04-19,34.66999816894531
2021-04-20,33.54999923706055
2021-04-21,35.209999084472656
2021-04-22,34.150001525878906
2021-04-23,31.040000915527344
2021-04-26,31.010000228881836
2021-04-27,31.5
2021-04-28,31.979999542236328
2021-04-29,29.950000762939453
2021-04-30,28.049999237060547
2021-05-03,25.799999237060547
2021-05-04,23.34000015258789
2021-05-05,22.0
2021-05-06,21.149999618530273
2021-05-07,21.600000381469727
2021-05-10,21.8700008392334
2021-05-11,21.670000076293945
2021-05-12,24.479999542236328
2021-05-13,24.06999969482422
2021-05-14,25.110000610351562
2021-05-17,23.93000030517578
2021-05-18,24.489999771118164
2021-05-19,24.309999465942383
2021-05-20,25.520000457763672
2021-05-21,25.049999237060547
2021-05-24,25.229999542236328
2021-05-25,24.899999618530273
2021-05-26,25.530000686645508
2021-05-27,28.280000686645508
2021-05-28,27.959999084472656
2021-06-01,27.639999389648438
2021-06-02,28.09000015258789
2021-06-03,27.6299991607666
2021-06-04,27.709999084472656
2021-06-07,28.809999465942383
2021-06-08,28.030000686645508
2021-06-09,27.65999984741211
2021-06-10,29.700000762939453
2021-06-11,28.809999465942383
2021-06-14,29.90999984741211
