Date,Adj Close
2013-09-26,9.960000038146973
2013-09-27,10.100000381469727
2013-09-30,10.0
2013-10-01,10.0
2013-10-02,9.970000267028809
2013-10-03,10.0
2013-10-04,10.199999809265137
2013-10-07,10.180000305175781
2013-10-08,10.119999885559082
2013-10-09,10.149999618530273
2013-10-10,10.199999809265137
2013-10-11,10.180000305175781
2013-10-14,10.0
2013-10-15,10.180000305175781
2013-10-16,10.25
2013-10-17,10.4399995803833
2013-10-18,11.010000228881836
2013-10-21,12.899999618530273
2013-10-22,13.130000114440918
2013-10-23,13.109999656677246
2013-10-24,12.609999656677246
2013-10-25,12.359999656677246
2013-10-28,11.869999885559082
2013-10-29,13.0600004196167
2013-10-30,12.550000190734863
2013-10-31,12.680000305175781
2013-11-01,12.760000228881836
2013-11-04,13.0
2013-11-05,13.0
2013-11-06,13.119999885559082
2013-11-07,13.0
2013-11-08,12.800000190734863
2013-11-11,12.899999618530273
2013-11-12,13.0
2013-11-13,12.619999885559082
2013-11-14,12.390000343322754
2013-11-15,12.65999984741211
2013-11-18,12.210000038146973
2013-11-19,12.430000305175781
2013-11-20,12.5
2013-11-21,12.5600004196167
2013-11-22,12.569999694824219
2013-11-25,12.569999694824219
2013-11-26,12.630000114440918
2013-11-27,12.960000038146973
2013-11-29,13.1899995803833
2013-12-02,12.579999923706055
2013-12-03,12.3100004196167
2013-12-04,12.890000343322754
2013-12-05,13.119999885559082
2013-12-06,14.369999885559082
2013-12-09,14.880000114440918
2013-12-10,15.59000015258789
2013-12-11,15.8100004196167
2013-12-12,15.140000343322754
2013-12-13,14.779999732971191
2013-12-16,15.479999542236328
2013-12-17,15.140000343322754
2013-12-18,15.199999809265137
2013-12-19,15.390000343322754
2013-12-20,14.800000190734863
2013-12-23,14.930000305175781
2013-12-24,15.020000457763672
2013-12-26,14.970000267028809
2013-12-27,14.890000343322754
2013-12-30,14.979999542236328
2013-12-31,15.010000228881836
2014-01-02,14.630000114440918
2014-01-03,14.350000381469727
2014-01-06,14.329999923706055
2014-01-07,14.739999771118164
2014-01-08,14.65999984741211
2014-01-09,14.15999984741211
2014-01-10,14.0
2014-01-13,13.699999809265137
2014-01-14,13.880000114440918
2014-01-15,13.970000267028809
2014-01-16,14.289999961853027
2014-01-17,14.420000076293945
2014-01-21,14.149999618530273
2014-01-22,14.149999618530273
2014-01-23,13.729999542236328
2014-01-24,13.390000343322754
2014-01-27,13.720000267028809
2014-01-28,13.84000015258789
2014-01-29,13.609999656677246
2014-01-30,14.0
2014-01-31,13.630000114440918
2014-02-03,13.609999656677246
2014-02-04,13.680000305175781
