Date,Adj Close
2021-09-28,54.79999923706055
2021-09-29,54.0099983215332
2021-09-30,54.34000015258789
2021-10-01,54.5099983215332
2021-10-04,54.0
2021-10-05,52.25
2021-10-06,50.16999816894531
2021-10-07,51.95000076293945
2021-10-08,49.689998626708984
2021-10-11,49.119998931884766
2021-10-12,50.0
2021-10-13,53.599998474121094
2021-10-14,54.45000076293945
2021-10-15,56.02000045776367
2021-10-18,63.52000045776367
2021-10-19,63.790000915527344
2021-10-20,64.83999633789062
2021-10-21,66.69000244140625
2021-10-22,67.41000366210938
2021-10-25,68.94999694824219
2021-10-26,71.16999816894531
2021-10-27,70.5199966430664
2021-10-28,73.06999969482422
2021-10-29,74.29000091552734
2021-11-01,77.91000366210938
2021-11-02,78.72000122070312
2021-11-03,80.80000305175781
2021-11-04,82.19000244140625
2021-11-05,83.68000030517578
2021-11-08,80.2699966430664
2021-11-09,84.80000305175781
2021-11-10,74.72000122070312
2021-11-11,75.56999969482422
2021-11-12,73.86000061035156
2021-11-15,72.69000244140625
2021-11-16,72.61000061035156
2021-11-17,71.0999984741211
2021-11-18,68.47000122070312
2021-11-19,68.4000015258789
2021-11-22,67.16999816894531
2021-11-23,68.2699966430664
2021-11-24,67.54000091552734
2021-11-26,66.06999969482422
2021-11-29,71.75
2021-11-30,65.0
2021-12-01,61.88999938964844
2021-12-02,63.09000015258789
2021-12-03,58.93000030517578
2021-12-06,56.790000915527344
2021-12-07,60.349998474121094
2021-12-08,61.439998626708984
2021-12-09,56.650001525878906
2021-12-10,55.58000183105469
2021-12-13,52.709999084472656
2021-12-14,50.939998626708984
2021-12-15,51.220001220703125
2021-12-16,50.41999816894531
2021-12-17,51.130001068115234
2021-12-20,51.40999984741211
2021-12-21,54.08000183105469
2021-12-22,54.709999084472656
2021-12-23,57.119998931884766
2021-12-27,58.150001525878906
2021-12-28,55.54999923706055
2021-12-29,54.33000183105469
2021-12-30,54.66999816894531
2021-12-31,52.939998626708984
2022-01-03,52.900001525878906
2022-01-04,50.40999984741211
2022-01-05,45.83000183105469
2022-01-06,44.349998474121094
2022-01-07,43.09000015258789
2022-01-10,44.41999816894531
2022-01-11,47.06999969482422
2022-01-12,46.689998626708984
2022-01-13,45.02000045776367
2022-01-14,43.4900016784668
2022-01-18,40.04999923706055
2022-01-19,39.13999938964844
2022-01-20,38.56999969482422
2022-01-21,37.16999816894531
2022-01-24,36.22999954223633
2022-01-25,33.689998626708984
2022-01-26,34.38999938964844
2022-01-27,33.4900016784668
2022-01-28,35.459999084472656
2022-01-31,39.310001373291016
2022-02-01,40.90999984741211
2022-02-02,39.25
2022-02-03,33.220001220703125
2022-02-04,36.47999954223633
2022-02-07,37.91999816894531
2022-02-08,41.4900016784668
2022-02-09,43.880001068115234
2022-02-10,42.90999984741211
2022-02-11,43.5099983215332
2022-02-14,42.58000183105469
2022-02-15,44.20000076293945
2022-02-16,41.61000061035156
2022-02-17,17.100000381469727
2022-02-18,20.65999984741211
2022-02-22,20.670000076293945
2022-02-23,19.31999969482422
2022-02-24,21.6299991607666
2022-02-25,21.239999771118164
2022-02-28,21.440000534057617
2022-03-01,21.290000915527344
2022-03-02,21.81999969482422
2022-03-03,20.280000686645508
2022-03-04,19.31999969482422
2022-03-07,18.68000030517578
2022-03-08,18.690000534057617
2022-03-09,19.459999084472656
2022-03-10,18.649999618530273
2022-03-11,16.729999542236328
2022-03-14,15.4399995803833
2022-03-15,15.710000038146973
