Date,Adj Close
2021-06-10,21.899999618530273
2021-06-11,24.0
2021-06-14,24.56999969482422
2021-06-15,25.34000015258789
2021-06-16,26.0
2021-06-17,26.0
2021-06-18,26.209999084472656
2021-06-21,25.989999771118164
2021-06-22,27.040000915527344
2021-06-23,27.850000381469727
2021-06-24,28.329999923706055
2021-06-25,28.100000381469727
2021-06-28,28.25
2021-06-29,28.799999237060547
2021-06-30,27.860000610351562
2021-07-01,27.6299991607666
2021-07-02,27.600000381469727
2021-07-06,28.049999237060547
2021-07-07,28.950000762939453
2021-07-08,27.649999618530273
2021-07-09,28.899999618530273
2021-07-12,28.219999313354492
2021-07-13,28.010000228881836
2021-07-14,26.290000915527344
2021-07-15,25.979999542236328
2021-07-16,26.030000686645508
2021-07-19,24.43000030517578
2021-07-20,24.170000076293945
2021-07-21,22.989999771118164
2021-07-22,22.639999389648438
2021-07-23,22.469999313354492
2021-07-26,21.479999542236328
2021-07-27,22.229999542236328
2021-07-28,23.190000534057617
2021-07-29,23.459999084472656
2021-07-30,23.700000762939453
2021-08-02,24.25
2021-08-03,24.15999984741211
2021-08-04,23.93000030517578
2021-08-05,23.809999465942383
2021-08-06,24.3799991607666
2021-08-09,24.3799991607666
2021-08-10,23.299999237060547
2021-08-11,21.8700008392334
2021-08-12,11.710000038146973
2021-08-13,13.449999809265137
2021-08-16,13.829999923706055
2021-08-17,13.380000114440918
2021-08-18,13.390000343322754
2021-08-19,13.270000457763672
2021-08-20,12.869999885559082
2021-08-23,13.390000343322754
2021-08-24,13.1899995803833
2021-08-25,13.470000267028809
2021-08-26,13.930000305175781
2021-08-27,14.550000190734863
2021-08-30,14.579999923706055
2021-08-31,14.859999656677246
2021-09-01,14.979999542236328
2021-09-02,15.59000015258789
2021-09-03,16.25
2021-09-07,15.229999542236328
2021-09-08,14.579999923706055
2021-09-09,15.300000190734863
2021-09-10,16.260000228881836
2021-09-13,15.4399995803833
2021-09-14,15.65999984741211
2021-09-15,15.350000381469727
2021-09-16,15.800000190734863
2021-09-17,15.069999694824219
2021-09-20,13.460000038146973
2021-09-21,14.029999732971191
2021-09-22,14.890000343322754
2021-09-23,15.550000190734863
2021-09-24,15.489999771118164
2021-09-27,15.079999923706055
2021-09-28,15.09000015258789
2021-09-29,14.75
2021-09-30,14.5
