Date,Adj Close
2015-07-02,46.757774353027344
2015-07-06,47.1253547668457
2015-07-07,44.213008880615234
2015-07-08,42.06880187988281
2015-07-09,40.584354400634766
2015-07-10,41.894439697265625
2015-07-13,45.08011245727539
2015-07-14,43.45899963378906
2015-07-15,43.147972106933594
2015-07-16,43.21394729614258
2015-07-17,46.757774353027344
2015-07-20,45.60791778564453
2015-07-21,44.627708435058594
2015-07-22,44.373233795166016
2015-07-23,43.91140365600586
2015-07-24,42.5070686340332
2015-07-27,41.244110107421875
2015-07-28,41.366634368896484
2015-07-29,40.584354400634766
2015-07-30,40.885955810546875
2015-07-31,40.30160140991211
2015-08-03,40.103675842285156
2015-08-04,40.49010467529297
2015-08-05,40.26390075683594
2015-08-06,39.18944549560547
2015-08-07,37.756832122802734
2015-08-10,37.813385009765625
2015-08-11,37.26673126220703
2015-08-12,36.66352462768555
2015-08-13,36.69179916381836
2015-08-14,37.04995346069336
2015-08-17,36.795475006103516
2015-08-18,36.644676208496094
2015-08-19,35.994346618652344
2015-08-20,34.92931365966797
2015-08-21,34.59000778198242
2015-08-24,33.11969757080078
2015-08-25,31.69651222229004
2015-08-26,31.573986053466797
2015-08-27,32.56361770629883
2015-08-28,32.91234588623047
2015-08-31,32.39396667480469
2015-09-01,30.39585304260254
2015-09-02,30.678604125976562
2015-09-03,31.102733612060547
2015-09-04,30.73515510559082
2015-09-08,32.902923583984375
2015-09-09,33.656925201416016
2015-09-10,36.163997650146484
2015-09-11,36.54100036621094
2015-09-14,34.495758056640625
2015-09-15,34.81621170043945
2015-09-16,34.39208221435547
2015-09-17,34.81621170043945
2015-09-18,34.24128341674805
2015-09-21,33.9868049621582
2015-09-22,32.45994186401367
2015-09-23,32.186614990234375
2015-09-24,32.855796813964844
2015-09-25,33.072574615478516
2015-09-28,31.809614181518555
2015-09-29,31.743637084960938
2015-09-30,31.753063201904297
2015-10-01,32.026390075683594
2015-10-02,32.93119812011719
2015-10-05,33.9868049621582
2015-10-06,34.42035675048828
2015-10-07,34.38265609741211
2015-10-08,33.56267547607422
2015-10-09,33.685203552246094
2015-10-12,32.98774719238281
2015-10-13,32.63901901245117
2015-10-14,32.94062042236328
2015-10-15,32.73326873779297
2015-10-16,32.365692138671875
2015-10-19,32.45051956176758
2015-10-20,31.837888717651367
2015-10-21,31.102733612060547
2015-10-22,35.3817138671875
2015-10-23,38.6050910949707
2015-10-26,36.644676208496094
2015-10-27,36.35249710083008
2015-10-28,37.23845291137695
2015-10-29,36.72007369995117
2015-10-30,36.39962387084961
2015-11-02,36.135719299316406
2015-11-03,36.30537033081055
2015-11-04,35.05183792114258
2015-11-05,34.505184173583984
2015-11-06,35.26861572265625
2015-11-09,35.032989501953125
2015-11-10,35.22148895263672
2015-11-11,34.844486236572266
2015-11-12,33.96795654296875
2015-11-13,34.316680908203125
2015-11-16,35.815269470214844
2015-11-17,34.86333465576172
2015-11-18,35.193214416503906
2015-11-19,35.69274139404297
2015-11-20,35.636192321777344
2015-11-23,34.844486236572266
2015-11-24,33.96795654296875
2015-11-25,34.3543815612793
2015-11-27,34.39208221435547
2015-11-30,35.39113998413086
2015-12-01,36.74835205078125
2015-12-02,38.4260139465332
2015-12-03,37.276153564453125
