Date,Adj Close
2020-07-01,0.550000011920929
2020-07-02,29.700000762939453
2020-07-06,30.0
2020-07-07,30.149999618530273
2020-07-08,34.310001373291016
2020-07-09,34.0
2020-07-10,34.900001525878906
2020-07-13,32.9900016784668
2020-07-14,31.540000915527344
2020-07-15,32.40999984741211
2020-07-16,32.209999084472656
2020-07-17,33.619998931884766
2020-07-20,32.720001220703125
2020-07-21,32.279998779296875
2020-07-22,32.209999084472656
2020-07-23,32.540000915527344
2020-07-24,32.939998626708984
2020-07-27,35.189998626708984
2020-07-28,33.66999816894531
2020-07-29,35.5
2020-07-30,33.689998626708984
2020-07-31,32.439998626708984
2020-08-03,33.029998779296875
2020-08-04,34.58000183105469
2020-08-05,37.970001220703125
2020-08-06,41.34000015258789
2020-08-07,37.0
2020-08-10,37.52000045776367
2020-08-11,36.150001525878906
2020-08-12,37.630001068115234
2020-08-13,37.27000045776367
2020-08-14,36.810001373291016
2020-08-17,37.900001525878906
2020-08-18,37.47999954223633
2020-08-19,38.7400016784668
2020-08-20,39.970001220703125
2020-08-21,39.689998626708984
2020-08-24,40.13999938964844
2020-08-25,38.22999954223633
2020-08-26,36.0
2020-08-27,35.279998779296875
2020-08-28,34.470001220703125
2020-08-31,33.61000061035156
2020-09-01,32.72999954223633
2020-09-02,34.470001220703125
2020-09-03,32.959999084472656
2020-09-04,32.599998474121094
2020-09-08,32.13999938964844
2020-09-09,33.560001373291016
2020-09-10,34.06999969482422
2020-09-11,32.650001525878906
2020-09-14,33.849998474121094
2020-09-15,34.5
2020-09-16,33.400001525878906
2020-09-17,32.439998626708984
2020-09-18,32.36000061035156
2020-09-21,29.93000030517578
2020-09-22,30.399999618530273
2020-09-23,30.34000015258789
2020-09-24,32.33000183105469
2020-09-25,34.31999969482422
2020-09-28,36.040000915527344
2020-09-29,38.41999816894531
2020-09-30,38.869998931884766
2020-10-01,37.810001373291016
2020-10-02,38.7400016784668
2020-10-05,39.7599983215332
2020-10-06,37.599998474121094
2020-10-07,40.279998779296875
2020-10-08,41.18000030517578
2020-10-09,38.935001373291016
2020-10-12,40.79999923706055
2020-10-13,43.95000076293945
2020-10-14,44.4900016784668
2020-10-15,41.97999954223633
2020-10-16,41.630001068115234
2020-10-19,41.33000183105469
2020-10-20,39.099998474121094
2020-10-21,39.83000183105469
2020-10-22,38.380001068115234
2020-10-23,42.0099983215332
2020-10-26,37.18000030517578
2020-10-27,38.2400016784668
2020-10-28,33.560001373291016
2020-10-29,34.9900016784668
2020-10-30,35.02000045776367
2020-11-02,33.2599983215332
2020-11-03,35.0
2020-11-04,34.369998931884766
2020-11-05,37.099998474121094
2020-11-06,37.459999084472656
2020-11-09,40.06999969482422
2020-11-10,35.88999938964844
2020-11-11,37.529998779296875
2020-11-12,37.0
2020-11-13,37.349998474121094
2020-11-16,38.20000076293945
2020-11-17,39.9900016784668
2020-11-18,42.15999984741211
2020-11-19,46.095001220703125
2020-11-20,48.93000030517578
2020-11-23,50.209999084472656
2020-11-24,50.33000183105469
2020-11-25,50.540000915527344
2020-11-27,51.84000015258789
2020-11-30,51.90999984741211
2020-12-01,54.349998474121094
2020-12-02,49.86000061035156
2020-12-03,48.25
2020-12-04,49.349998474121094
2020-12-07,53.08000183105469
2020-12-08,57.93000030517578
2020-12-09,55.83000183105469
2020-12-10,59.720001220703125
2020-12-11,59.279998779296875
2020-12-14,55.189998626708984
2020-12-15,49.810001373291016
2020-12-16,50.880001068115234
2020-12-17,51.810001373291016
2020-12-18,50.9900016784668
2020-12-21,49.70000076293945
2020-12-22,54.02000045776367
2020-12-23,55.029998779296875
2020-12-24,52.41999816894531
2020-12-28,47.34000015258789
2020-12-29,46.0
2020-12-30,45.939998626708984
2020-12-31,43.5
2021-01-04,41.45000076293945
2021-01-05,42.540000915527344
2021-01-06,44.04999923706055
2021-01-07,46.91999816894531
2021-01-08,49.66999816894531
2021-01-11,46.58000183105469
2021-01-12,46.150001525878906
2021-01-13,47.66999816894531
2021-01-14,47.7599983215332
2021-01-15,52.349998474121094
2021-01-19,54.84000015258789
2021-01-20,55.97999954223633
2021-01-21,58.81999969482422
2021-01-22,59.09000015258789
2021-01-25,55.13999938964844
2021-01-26,53.58000183105469
2021-01-27,52.880001068115234
2021-01-28,51.31999969482422
2021-01-29,50.689998626708984
2021-02-01,51.11000061035156
2021-02-02,53.529998779296875
2021-02-03,53.72999954223633
2021-02-04,53.06999969482422
2021-02-05,53.290000915527344
2021-02-08,54.540000915527344
2021-02-09,55.91999816894531
2021-02-10,52.36000061035156
2021-02-11,52.0099983215332
2021-02-12,52.77000045776367
2021-02-16,53.7599983215332
2021-02-17,51.9900016784668
2021-02-18,52.20000076293945
2021-02-19,52.880001068115234
2021-02-22,49.959999084472656
2021-02-23,45.2400016784668
2021-02-24,46.13999938964844
2021-02-25,43.79999923706055
2021-02-26,44.31999969482422
2021-03-01,47.08000183105469
2021-03-02,46.560001373291016
2021-03-03,44.209999084472656
2021-03-04,39.06999969482422
2021-03-05,39.91999816894531
2021-03-08,39.404998779296875
2021-03-09,43.59000015258789
2021-03-10,43.130001068115234
2021-03-11,47.040000915527344
2021-03-12,46.0099983215332
2021-03-15,48.529998779296875
2021-03-16,46.22999954223633
2021-03-17,47.2400016784668
2021-03-18,45.369998931884766
2021-03-19,43.59000015258789
2021-03-22,42.97999954223633
2021-03-23,42.029998779296875
2021-03-24,38.099998474121094
2021-03-25,40.779998779296875
2021-03-26,41.810001373291016
2021-03-29,43.470001220703125
2021-03-30,44.470001220703125
