Date,Adj Close
2019-06-20,28.510000228881836
2019-06-21,28.600000381469727
2019-06-24,29.989999771118164
2019-06-25,30.690000534057617
2019-06-26,32.97999954223633
2019-06-27,32.709999084472656
2019-06-28,32.880001068115234
2019-07-01,33.099998474121094
2019-07-02,33.0
2019-07-03,33.20000076293945
2019-07-05,33.029998779296875
2019-07-08,32.25
2019-07-09,32.68000030517578
2019-07-10,32.720001220703125
2019-07-11,33.130001068115234
2019-07-12,33.810001373291016
2019-07-15,35.380001068115234
2019-07-16,34.810001373291016
2019-07-17,35.45000076293945
2019-07-18,35.869998931884766
2019-07-19,37.650001525878906
2019-07-22,39.25
2019-07-23,36.849998474121094
2019-07-24,38.349998474121094
2019-07-25,38.15999984741211
2019-07-26,38.9900016784668
2019-07-29,39.06999969482422
2019-07-30,38.540000915527344
2019-07-31,38.939998626708984
2019-08-01,38.93000030517578
2019-08-02,38.75
2019-08-05,38.439998626708984
2019-08-06,37.20000076293945
2019-08-07,37.599998474121094
2019-08-08,37.81999969482422
2019-08-09,37.84000015258789
2019-08-12,37.540000915527344
2019-08-13,37.599998474121094
2019-08-14,39.5
2019-08-15,43.7599983215332
2019-08-16,46.63999938964844
2019-08-19,43.33000183105469
2019-08-20,42.959999084472656
2019-08-21,41.779998779296875
2019-08-22,43.560001373291016
2019-08-23,41.75
2019-08-26,42.79999923706055
2019-08-27,44.0099983215332
2019-08-28,42.56999969482422
2019-08-29,41.81999969482422
2019-08-30,40.45000076293945
2019-09-03,40.29999923706055
2019-09-04,40.060001373291016
2019-09-05,40.08000183105469
2019-09-06,39.7400016784668
2019-09-09,37.029998779296875
2019-09-10,35.209999084472656
2019-09-11,36.650001525878906
2019-09-12,36.849998474121094
2019-09-13,36.959999084472656
2019-09-16,37.150001525878906
2019-09-17,36.72999954223633
2019-09-18,36.869998931884766
2019-09-19,37.41999816894531
2019-09-20,38.08000183105469
2019-09-23,38.91999816894531
2019-09-24,37.790000915527344
2019-09-25,35.90999984741211
2019-09-26,35.709999084472656
2019-09-27,34.36000061035156
2019-09-30,34.68000030517578
2019-10-01,33.689998626708984
2019-10-02,33.0099983215332
2019-10-03,33.90999984741211
2019-10-04,34.0
2019-10-07,33.54999923706055
2019-10-08,32.79999923706055
2019-10-09,32.849998474121094
2019-10-10,32.29999923706055
2019-10-11,32.790000915527344
2019-10-14,33.560001373291016
2019-10-15,33.66999816894531
2019-10-16,33.5099983215332
2019-10-17,33.47999954223633
2019-10-18,33.06999969482422
2019-10-21,32.75
2019-10-22,31.760000228881836
2019-10-23,30.940000534057617
2019-10-24,31.149999618530273
2019-10-25,31.510000228881836
2019-10-28,30.899999618530273
2019-10-29,31.3799991607666
2019-10-30,31.979999542236328
2019-10-31,31.899999618530273
2019-11-01,32.220001220703125
2019-11-04,31.770000457763672
2019-11-05,31.780000686645508
2019-11-06,31.18000030517578
2019-11-07,30.8700008392334
2019-11-08,31.110000610351562
2019-11-11,31.0
2019-11-12,32.599998474121094
2019-11-13,31.579999923706055
2019-11-14,31.84000015258789
2019-11-15,31.559999465942383
2019-11-18,30.600000381469727
2019-11-19,30.65999984741211
2019-11-20,31.0
2019-11-21,30.850000381469727
2019-11-22,31.68000030517578
2019-11-25,31.770000457763672
2019-11-26,32.720001220703125
2019-11-27,32.779998779296875
2019-11-29,33.130001068115234
2019-12-02,32.75
2019-12-03,33.290000915527344
2019-12-04,32.5
2019-12-05,31.479999542236328
2019-12-06,32.45000076293945
2019-12-09,32.290000915527344
2019-12-10,31.780000686645508
2019-12-11,31.940000534057617
2019-12-12,30.469999313354492
2019-12-13,30.920000076293945
2019-12-16,31.309999465942383
2019-12-17,31.209999084472656
2019-12-18,31.3700008392334
2019-12-19,31.649999618530273
2019-12-20,32.9900016784668
2019-12-23,32.849998474121094
2019-12-24,32.40999984741211
2019-12-26,33.209999084472656
2019-12-27,33.470001220703125
2019-12-30,33.290000915527344
2019-12-31,32.45000076293945
2020-01-02,31.989999771118164
2020-01-03,32.060001373291016
2020-01-06,31.170000076293945
2020-01-07,31.43000030517578
2020-01-08,31.739999771118164
2020-01-09,32.58000183105469
2020-01-10,32.79999923706055
2020-01-13,33.5
2020-01-14,33.650001525878906
2020-01-15,33.72999954223633
2020-01-16,34.290000915527344
2020-01-17,34.439998626708984
2020-01-21,35.02000045776367
2020-01-22,35.599998474121094
2020-01-23,36.04999923706055
2020-01-24,35.43000030517578
2020-01-27,35.25
2020-01-28,33.5
2020-01-29,33.7400016784668
2020-01-30,32.61000061035156
2020-01-31,32.7400016784668
2020-02-03,32.720001220703125
2020-02-04,32.150001525878906
