Date,Adj Close
2021-10-20,12.800000190734863
2021-10-21,12.779999732971191
2021-10-22,12.180000305175781
2021-10-25,12.229999542236328
2021-10-26,11.989999771118164
2021-10-27,12.010000228881836
2021-10-28,12.010000228881836
2021-10-29,12.079999923706055
2021-11-01,13.0
2021-11-02,14.0
2021-11-03,14.529999732971191
2021-11-04,15.020000457763672
2021-11-05,15.010000228881836
2021-11-08,15.050000190734863
2021-11-09,15.710000038146973
2021-11-10,16.510000228881836
2021-11-11,17.600000381469727
2021-11-12,18.559999465942383
2021-11-15,20.15999984741211
2021-11-16,19.760000228881836
2021-11-17,18.700000762939453
2021-11-18,17.030000686645508
2021-11-19,16.010000228881836
2021-11-22,18.040000915527344
2021-11-23,17.959999084472656
2021-11-24,17.829999923706055
2021-11-26,18.100000381469727
2021-11-29,18.280000686645508
2021-11-30,19.610000610351562
2021-12-01,19.0
2021-12-02,18.520000457763672
2021-12-03,17.8799991607666
2021-12-06,17.450000762939453
2021-12-07,18.8799991607666
2021-12-08,17.729999542236328
2021-12-09,16.979999542236328
2021-12-10,17.34000015258789
2021-12-13,17.100000381469727
2021-12-14,15.9399995803833
2021-12-15,16.1200008392334
2021-12-16,14.880000114440918
2021-12-17,15.020000457763672
2021-12-20,13.930000305175781
2021-12-21,15.050000190734863
2021-12-22,14.75
2021-12-23,15.029999732971191
2021-12-27,16.010000228881836
2021-12-28,15.40999984741211
2021-12-29,15.510000228881836
2021-12-30,16.520000457763672
2021-12-31,17.010000228881836
2022-01-03,16.260000228881836
2022-01-04,15.609999656677246
2022-01-05,14.449999809265137
2022-01-06,13.5
2022-01-07,13.130000114440918
2022-01-10,13.029999732971191
2022-01-11,12.600000381469727
2022-01-12,12.40999984741211
2022-01-13,11.630000114440918
2022-01-14,11.1899995803833
2022-01-18,11.069999694824219
2022-01-19,10.390000343322754
2022-01-20,10.789999961853027
2022-01-21,10.15999984741211
2022-01-24,9.9399995803833
2022-01-25,9.539999961853027
2022-01-26,9.699999809265137
2022-01-27,8.649999618530273
2022-01-28,9.069999694824219
2022-01-31,9.970000267028809
2022-02-01,10.289999961853027
2022-02-02,9.789999961853027
2022-02-03,8.960000038146973
2022-02-04,9.829999923706055
2022-02-07,10.069999694824219
2022-02-08,10.850000381469727
2022-02-09,11.609999656677246
2022-02-10,11.329999923706055
2022-02-11,10.819999694824219
2022-02-14,10.899999618530273
2022-02-15,11.720000267028809
2022-02-16,9.5600004196167
