Date,Adj Close
2017-12-08,21.450000762939453
2017-12-11,20.989999771118164
2017-12-12,20.15999984741211
2017-12-13,20.040000915527344
2017-12-14,18.989999771118164
2017-12-15,19.040000915527344
2017-12-18,18.709999084472656
2017-12-19,18.280000686645508
2017-12-20,17.700000762939453
2017-12-21,16.450000762939453
2017-12-22,15.779999732971191
2017-12-26,15.460000038146973
2017-12-27,15.850000381469727
2017-12-28,15.039999961853027
2017-12-29,15.640000343322754
2018-01-02,16.1299991607666
2018-01-03,16.649999618530273
2018-01-04,16.079999923706055
2018-01-05,16.799999237060547
2018-01-08,16.479999542236328
2018-01-09,15.5
2018-01-10,15.359999656677246
2018-01-11,16.530000686645508
2018-01-12,17.15999984741211
2018-01-16,17.100000381469727
2018-01-17,17.6200008392334
2018-01-18,18.31999969482422
2018-01-19,19.760000228881836
2018-01-22,21.559999465942383
2018-01-23,21.850000381469727
2018-01-24,21.799999237060547
2018-01-25,21.149999618530273
2018-01-26,22.200000762939453
2018-01-29,23.950000762939453
2018-01-30,23.670000076293945
2018-01-31,23.260000228881836
2018-02-01,21.18000030517578
2018-02-02,20.389999389648438
2018-02-05,19.260000228881836
2018-02-06,19.3799991607666
2018-02-07,20.270000457763672
2018-02-08,20.889999389648438
2018-02-09,21.489999771118164
2018-02-12,21.219999313354492
2018-02-13,20.59000015258789
2018-02-14,20.93000030517578
2018-02-15,23.34000015258789
2018-02-16,24.799999237060547
2018-02-20,23.68000030517578
2018-02-21,23.020000457763672
2018-02-22,22.420000076293945
2018-02-23,22.399999618530273
2018-02-26,22.15999984741211
2018-02-27,21.510000228881836
2018-02-28,22.889999389648438
2018-03-01,21.56999969482422
2018-03-02,22.59000015258789
2018-03-05,22.549999237060547
2018-03-06,21.959999084472656
2018-03-07,21.56999969482422
2018-03-08,20.559999465942383
2018-03-09,20.3700008392334
2018-03-12,20.18000030517578
2018-03-13,20.1200008392334
2018-03-14,21.889999389648438
2018-03-15,19.579999923706055
2018-03-16,21.53499984741211
2018-03-19,21.959999084472656
2018-03-20,22.059999465942383
2018-03-21,21.709999084472656
2018-03-22,21.170000076293945
2018-03-23,21.34000015258789
2018-03-26,21.15999984741211
2018-03-27,20.049999237060547
2018-03-28,19.709999084472656
2018-03-29,19.690000534057617
2018-04-02,18.75
2018-04-03,19.1200008392334
2018-04-04,19.600000381469727
2018-04-05,18.889999389648438
2018-04-06,18.110000610351562
2018-04-09,18.440000534057617
2018-04-10,19.6200008392334
2018-04-11,19.520000457763672
2018-04-12,19.40999984741211
2018-04-13,19.200000762939453
2018-04-16,18.6200008392334
2018-04-17,19.6299991607666
2018-04-18,19.360000610351562
2018-04-19,19.260000228881836
2018-04-20,19.770000457763672
2018-04-23,19.450000762939453
2018-04-24,19.200000762939453
2018-04-25,18.360000610351562
2018-04-26,18.700000762939453
2018-04-27,18.729999542236328
2018-04-30,18.479999542236328
2018-05-01,18.6299991607666
2018-05-02,18.68000030517578
2018-05-03,18.149999618530273
2018-05-04,18.979999542236328
2018-05-07,19.270000457763672
2018-05-08,18.719999313354492
2018-05-09,19.469999313354492
2018-05-10,20.5
2018-05-11,19.440000534057617
2018-05-14,18.700000762939453
2018-05-15,19.18000030517578
2018-05-16,18.850000381469727
2018-05-17,18.989999771118164
2018-05-18,19.729999542236328
2018-05-21,19.719999313354492
2018-05-22,20.0
2018-05-23,20.34000015258789
2018-05-24,19.979999542236328
2018-05-25,19.93000030517578
2018-05-29,20.790000915527344
2018-05-30,20.729999542236328
2018-05-31,19.229999542236328
2018-06-01,18.84000015258789
2018-06-04,20.799999237060547
2018-06-05,21.020000457763672
2018-06-06,19.809999465942383
