Date,Adj Close
2019-02-28,9.729999542236328
2019-03-01,9.829999923706055
2019-03-04,9.829999923706055
2019-03-05,9.829999923706055
2019-03-06,9.829999923706055
2019-03-07,9.800000190734863
2019-03-08,9.800000190734863
2019-03-11,9.800000190734863
2019-03-12,9.800000190734863
2019-03-13,9.800000190734863
2019-03-14,9.770000457763672
2019-03-15,9.770000457763672
2019-03-18,9.770000457763672
2019-03-19,9.770000457763672
2019-03-20,9.770000457763672
2019-03-21,9.770000457763672
2019-03-22,9.770000457763672
2019-03-25,9.770000457763672
2019-03-26,9.779999732971191
2019-03-27,9.75
2019-03-28,9.760000228881836
2019-03-29,9.800000190734863
2019-04-01,9.789999961853027
2019-04-02,9.789999961853027
2019-04-03,9.800000190734863
2019-04-04,9.800000190734863
2019-04-05,9.789999961853027
2019-04-08,9.789999961853027
2019-04-09,9.789999961853027
2019-04-10,9.770000457763672
2019-04-11,9.770000457763672
2019-04-12,9.770000457763672
2019-04-15,9.770000457763672
2019-04-16,9.779999732971191
2019-04-17,9.779999732971191
2019-04-18,9.789999961853027
2019-04-22,9.819999694824219
2019-04-23,9.819999694824219
2019-04-24,9.819999694824219
2019-04-25,9.829999923706055
2019-04-26,9.770000457763672
2019-04-29,9.770000457763672
2019-04-30,9.770000457763672
2019-05-01,9.770000457763672
2019-05-02,9.770000457763672
2019-05-03,9.800000190734863
2019-05-06,9.859999656677246
2019-05-07,9.850000381469727
2019-05-08,9.850000381469727
2019-05-09,9.850000381469727
2019-05-10,9.850000381469727
2019-05-13,9.85099983215332
2019-05-14,9.850000381469727
2019-05-15,9.869999885559082
2019-05-16,9.859999656677246
2019-05-17,9.84000015258789
2019-05-20,9.84000015258789
2019-05-21,9.859999656677246
2019-05-22,9.84000015258789
2019-05-23,9.84000015258789
2019-05-24,9.84000015258789
2019-05-28,9.84000015258789
2019-05-29,9.84000015258789
2019-05-30,9.850000381469727
2019-05-31,9.850000381469727
2019-06-03,9.850000381469727
2019-06-04,9.859999656677246
2019-06-05,9.87600040435791
2019-06-06,9.87600040435791
2019-06-07,9.87600040435791
2019-06-10,9.87600040435791
2019-06-11,9.880000114440918
2019-06-12,9.880000114440918
2019-06-13,9.899999618530273
2019-06-14,9.899999618530273
2019-06-17,9.899999618530273
2019-06-18,9.899999618530273
2019-06-19,9.920000076293945
2019-06-20,9.920000076293945
2019-06-21,9.920000076293945
2019-06-24,9.895000457763672
2019-06-25,9.899999618530273
2019-06-26,9.9399995803833
2019-06-27,9.899999618530273
2019-06-28,9.899999618530273
2019-07-01,9.899999618530273
2019-07-02,9.899999618530273
2019-07-03,9.899999618530273
2019-07-05,9.930000305175781
2019-07-08,9.930000305175781
2019-07-09,9.930000305175781
2019-07-10,9.930000305175781
2019-07-11,9.930000305175781
2019-07-12,9.930000305175781
2019-07-15,9.930000305175781
2019-07-16,9.949999809265137
2019-07-17,9.960000038146973
2019-07-18,9.960000038146973
2019-07-19,9.9399995803833
2019-07-22,9.9399995803833
2019-07-23,9.9399995803833
2019-07-24,10.09000015258789
2019-07-25,10.069999694824219
2019-07-26,10.069999694824219
2019-07-29,9.989999771118164
2019-07-30,10.0
2019-07-31,9.961000442504883
2019-08-01,9.970000267028809
2019-08-02,9.970000267028809
2019-08-05,9.949999809265137
2019-08-06,10.149999618530273
2019-08-07,10.100000381469727
2019-08-08,10.100000381469727
2019-08-09,10.029999732971191
2019-08-12,10.029999732971191
2019-08-13,10.0
2019-08-14,10.0
2019-08-15,9.989999771118164
2019-08-16,10.020000457763672
2019-08-19,10.010000228881836
2019-08-20,10.010000228881836
2019-08-21,10.010000228881836
2019-08-22,9.90999984741211
2019-08-23,9.960000038146973
2019-08-26,9.960000038146973
2019-08-27,9.960000038146973
2019-08-28,9.960000038146973
2019-08-29,9.960000038146973
2019-08-30,9.960000038146973
2019-09-03,9.960000038146973
2019-09-04,9.960000038146973
2019-09-05,9.960000038146973
2019-09-06,9.960000038146973
2019-09-09,9.960000038146973
2019-09-10,9.960000038146973
2019-09-11,9.960000038146973
2019-09-12,9.960000038146973
2019-09-13,9.960000038146973
2019-09-16,9.979999542236328
2019-09-17,9.979999542236328
2019-09-18,10.0
2019-09-19,10.0
2019-09-20,10.0
2019-09-23,10.0
2019-09-24,10.0
2019-09-25,10.0
2019-09-26,10.0
2019-09-27,10.0
2019-09-30,10.0
2019-10-01,10.0
2019-10-02,10.0
2019-10-03,10.0
2019-10-04,10.0
2019-10-07,10.015000343322754
2019-10-08,10.024999618530273
2019-10-09,10.024999618530273
2019-10-10,10.024999618530273
2019-10-11,10.024999618530273
2019-10-14,10.024999618530273
2019-10-15,10.024999618530273
2019-10-16,10.010000228881836
2019-10-17,10.010000228881836
2019-10-18,10.050000190734863
2019-10-21,10.0
2019-10-22,9.989999771118164
2019-10-23,9.989999771118164
2019-10-24,10.020000457763672
2019-10-25,10.010000228881836
2019-10-28,10.020000457763672
2019-10-29,10.020000457763672
2019-10-30,10.079999923706055
2019-10-31,10.069999694824219
2019-11-01,10.069999694824219
2019-11-04,10.069999694824219
2019-11-05,10.039999961853027
2019-11-06,10.039999961853027
2019-11-07,10.029999732971191
2019-11-08,10.062999725341797
2019-11-11,10.062999725341797
